,Hamburg Song_Keane
0,pump
1,organ
2,tom
3,chaplin
4,want
5,adored
6,want
7,first
8,line
9,make
10,heard
11,i'd
12,like
13,bring
14,little
15,light
16,shine
17,light
18,life
19,make
20,feel
21,loved
22,prechorus
23,want
24,one
25,know
26,want
27,place
28,call
29,home
30,lay
31,make
32,want
33,know
34,give
35,much
36,i'd
37,ever
38,ask
39,see
40,end
41,waste
42,time
43,trying
44,friend
45,shine
46,shine
47,shine
48,shine
49,little
50,light
51,shine
52,light
53,life
54,warm
55,prechorus
56,fool
57,wonder
58,know
59,know
60,could
61,simple
62,lay
63,make
64,want
65,know
66,take
67,much
68,i'd
69,ever
70,ask
71,instrumental
72,piano
73,lead
74,tim
75,riceoxley
76,prechorus
77,say
78,word
79,two
80,brighten
81,day
82,think
83,could
84,see
85,way
86,lay
87,make
88,want
89,know
90,take
91,much
92,i'd
93,ever
94,ask
