,She's the One_Robbie Williams
0,one
1,free
2,there's
3,somebody
4,calling
5,one
6,there's
7,somebody
8,calling
9,one
10,young
11,wrong
12,fine
13,along
14,there's
15,somebody
16,calling
17,one
18,get
19,wanna
20,go
21,know
22,things
23,wanna
24,know
25,smiling
26,said
27,wanna
28,say
29,know
30,way
31,wanna
32,play
33,high
34,flying
35,though
36,sea
37,strong
38,know
39,we'll
40,carry
41,cause
42,there's
43,somebody
44,calling
45,one
46,there's
47,somebody
48,calling
49,one
50,get
51,wanna
52,go
53,know
54,things
55,wanna
56,know
57,smiling
58,said
59,wanna
60,say
61,know
62,way
63,wanna
64,say
65,high
66,flying
67,one
68,free
69,there's
70,somebody
71,calling
72,one
73,there's
74,somebody
75,calling
76,one
77,there's
78,somebody
79,calling
80,one
81,yeah
82,one
83,there's
84,somebody
85,calling
86,one
87,one
88,there's
89,somebody
90,calling
91,one
