,You Wanted More_Tonic
0,love
1,tragic
2,love
3,bold
4,always
5,told
6,love
7,hard
8,love
9,strong
10,never
11,say
12,wrong
13,prechorus
14,know
15,got
16,bitter
17,love
18,surely
19,better
20,gone
21,'cause
22,wanted
23,could
24,give
25,could
26,handle
27,life
28,can't
29,live
30,wanted
31,could
32,bear
33,could
34,offer
35,love
36,love
37,color
38,love
39,loud
40,love
41,never
42,saying
43,proud
44,love
45,trusting
46,love
47,honest
48,love
49,hand
50,hold
51,prechorus
52,got
53,pick
54,got
55,get
56,feet
57,back
58,ground
59,got
60,pick
61,prechorus
62,wanted
63,could
64,love
65,could
66,offer
67,harder
68,would
69,shove
70,wanted
71,could
72,give
73,could
74,handle
75,life
76,can't
77,live
