,5 Years Time_Noah and the Whale
0,oh
1,well
2,five
3,years
4,time
5,could
6,walking
7,'round
8,zoo
9,sun
10,shining
11,there'll
12,love
13,bodies
14,elephants
15,i'll
16,put
17,hands
18,eyes
19,peep
20,there'll
21,sun
22,sun
23,sun
24,bodies
25,sun
26,sun
27,sun
28,necks
29,there'll
30,sun
31,sun
32,sun
33,faces
34,sun
35,sun
36,sun
37,heck
38,'cause
39,i'll
40,laughing
41,silly
42,little
43,jokes
44,we'll
45,laughing
46,used
47,smoke
48,stupid
49,little
50,cigarettes
51,drink
52,stupid
53,wine
54,'cause
55,needed
56,good
57,time
58,fun
59,fun
60,fun
61,drinking
62,fun
63,fun
64,fun
65,drunk
66,fun
67,fun
68,fun
69,laughing
70,fun
71,fun
72,fun
73,oh
74,fun
75,oh
76,well
77,look
78,say
79,happiest
80,i've
81,ever
82,i'll
83,say
84,longer
85,feel
86,james
87,dean
88,she'll
89,say
90,yeah
91,well
92,feel
93,pretty
94,happy
95,i'm
96,always
97,pretty
98,happy
99,i'm
100,kicking
101,back
102,it'll
103,love
104,love
105,love
106,bodies
107,love
108,love
109,love
110,minds
111,it'll
112,love
113,love
114,love
115,face
116,love
117,love
118,love
119,mine
120,although
121,maybe
122,moments
123,head
124,i'll
125,thinking
126,i'm
127,lying
128,bed
129,believe
130,might
131,even
132,come
133,true
134,mind
135,i'm
136,havin'
137,pretty
138,good
139,time
140,five
141,years
142,time
143,might
144,know
145,five
146,years
147,time
148,might
149,speak
150,five
151,years
152,time
153,might
154,get
155,along
156,five
157,years
158,time
159,might
160,prove
161,wrong
162,oh
163,there'll
164,love
165,love
166,love
167,wherever
168,go
169,there'll
170,love
