,Enchanted_Taylor Swift
0,tonight
1,forcing
2,laughter
3,faking
4,smiles
5,old
6,tired
7,lonely
8,place
9,walls
10,insincerity
11,shifting
12,eyes
13,vacancy
14,vanished
15,saw
16,face
17,say
18,enchanting
19,meet
20,eyes
21,whispered
22,met
23,across
24,room
25,silhouette
26,starts
27,make
28,way
29,playful
30,conversation
31,starts
32,counter
33,quick
34,remarks
35,like
36,passing
37,notes
38,secrecy
39,enchanting
40,meet
41,say
42,enchanted
43,meet
44,night
45,sparkling
46,let
47,go
48,i'm
49,wonderstruck
50,blushing
51,way
52,home
53,i'll
54,spend
55,forever
56,wondering
57,knew
58,enchanted
59,meet
60,lingering
61,question
62,kept
63,2am
64,love
65,wonder
66,'til
67,i'm
68,wide
69,awake
70,i'm
71,pacing
72,back
73,forth
74,wishing
75,door
76,i'd
77,open
78,would
79,say
80,hey
81,enchanting
82,meet
83,know
84,enchanted
85,meet
86,night
87,sparkling
88,let
89,go
90,i'm
91,wonderstruck
92,blushing
93,way
94,home
95,i'll
96,spend
97,forever
98,wondering
99,knew
100,night
101,flawless
102,let
103,go
104,i'm
105,wonderstruck
106,dancing
107,around
108,alone
109,i'll
110,spend
111,forever
112,wondering
113,knew
114,enchanted
115,meet
116,praying
117,first
118,page
119,storyline
120,ends
121,thoughts
122,echo
123,name
124,see
125,words
126,held
127,back
128,leaving
129,soon
130,enchanted
131,meet
132,breakdown
133,please
134,love
135,someone
136,else
137,please
138,somebody
139,waiting
140,please
141,love
142,someone
143,else
144,please
145,somebody
146,waiting
147,night
148,sparkling
149,let
150,go
151,i'm
152,wonderstruck
153,blushing
154,way
155,home
156,i'll
157,spend
158,forever
159,wondering
160,knew
161,night
162,flawless
163,let
164,go
165,i'm
166,wonderstruck
167,dancing
168,around
169,alone
170,i'll
171,spend
172,forever
173,wondering
174,knew
175,enchanted
176,meet
177,please
178,love
179,someone
180,else
181,please
182,somebody
183,waiting
