,The Way I Feel Inside_The Zombies
0,try
1,hide
2,way
3,feel
4,inside
5,heart
6,would
7,say
8,would
9,try
10,love
11,mind
12,could
13,ever
14,really
15,close
16,tell
17,way
18,smile
19,feel
20,could
21,certain
22,would
23,say
24,things
25,want
26,say
27,tonight
28,'til
29,see
30,really
31,care
32,dream
33,someday
34,really
35,close
36,tell
37,way
38,smile
39,feel
40,could
41,certain
42,would
43,say
44,things
45,want
46,say
47,tonight
48,'til
49,see
50,really
51,care
52,i'll
53,keep
54,trying
55,hide
56,way
57,feel
58,inside
