,Heart of Stone_The Rolling Stones
0,there've
1,many
2,girls
3,i've
4,known
5,i've
6,made
7,many
8,cry
9,still
10,wonder
11,comes
12,little
13,girl
14,see
15,walking
16,street
17,try
18,knock
19,feet
20,she'll
21,never
22,break
23,never
24,break
25,never
26,break
27,never
28,break
29,heart
30,stone
31,oh
32,heart
33,stone
34,what's
35,different
36,really
37,know
38,matter
39,try
40,can't
41,make
42,cry
43,'cause
44,she'll
45,never
46,break
47,never
48,break
49,never
50,break
51,never
52,break
53,heart
54,stone
55,oh
56,heart
57,stone
58,keep
59,looking
60,old
61,way
62,try
63,acting
64,sad
65,make
66,glad
67,better
68,listen
69,little
70,girl
71,go
72,walking
73,street
74,ain't
75,got
76,love
77,ain't
78,kind
79,meet
80,'cause
81,she'll
82,never
83,break
84,never
85,break
86,never
87,break
88,never
89,break
90,heart
91,stone
92,oh
93,never
94,break
95,heart
96,stone
97,darling
98,heart
99,stone
100,never
101,break
102,darling
103,break
104,heart
105,stone
106,oh
107,better
108,go
109,better
110,go
111,home
112,'cause
113,never
114,break
115,heart
116,stone
117,better
118,better
119,drive
120,home
