,Shut Up and Dance_Walk the Moon
0,oh
1,dare
2,look
3,back
4,keep
5,eyes
6,said
7,holding
8,back
9,said
10,shut
11,dance
12,woman
13,destiny
14,said
15,ooh
16,hoo
17,shut
18,dance
19,victims
20,night
21,chemical
22,physical
23,kryptonite
24,helpless
25,bass
26,fading
27,light
28,oh
29,bound
30,get
31,together
32,bound
33,get
34,together
35,prechorus
36,took
37,arm
38,know
39,happened
40,took
41,floor
42,said
43,oh
44,dare
45,look
46,back
47,keep
48,eyes
49,said
50,holding
51,back
52,said
53,shut
54,dance
55,woman
56,destiny
57,said
58,ooh
59,hoo
60,shut
61,dance
62,backless
63,dress
64,beat
65,sneaks
66,discothèque
67,juliet
68,teenage
69,dream
70,felt
71,chest
72,looked
73,knew
74,bound
75,together
76,bound
77,together
78,prechorus
79,took
80,arm
81,know
82,happened
83,took
84,floor
85,said
86,oh
87,dare
88,look
89,back
90,keep
91,eyes
92,said
93,holding
94,back
95,said
96,shut
97,dance
98,woman
99,destiny
100,said
101,ooh
102,hoo
103,shut
104,dance
105,oh
106,c'mon
107,girl
108,deep
109,eyes
110,think
111,see
112,future
113,realize
114,last
115,chance
116,took
117,arm
118,know
119,happened
120,took
121,floor
122,said
123,oh
124,dare
125,look
126,back
127,keep
128,eyes
129,said
130,holding
131,back
132,said
133,shut
134,dance
135,woman
136,destiny
137,said
138,ooh
139,hoo
140,shut
141,dance
142,dare
143,look
144,back
145,keep
146,eyes
147,said
148,holding
149,back
150,said
151,shut
152,dance
153,woman
154,destiny
155,said
156,ooh
157,hoo
158,shut
159,dance
160,ooh
161,hoo
162,shut
163,dance
164,ooh
165,hoo
166,shut
167,dance
