,Wonderwall_Oasis
0,today
1,gonna
2,day
3,they're
4,gonna
5,throw
6,back
7,somehow
8,realised
9,gotta
10,believe
11,anybody
12,feels
13,way
14,backbeat
15,word
16,street
17,fire
18,heart
19,i'm
20,sure
21,heard
22,never
23,really
24,doubt
25,believe
26,anybody
27,feels
28,way
29,prechorus
30,roads
31,walk
32,winding
33,lights
34,lead
35,us
36,blinding
37,many
38,things
39,would
40,like
41,say
42,know
43,maybe
44,gonna
45,one
46,saves
47,wonderwall
48,today
49,gonna
50,day
51,they'll
52,never
53,throw
54,back
55,somehow
56,realised
57,believe
58,anybody
59,feels
60,way
61,prechorus
62,roads
63,lead
64,winding
65,lights
66,light
67,way
68,blinding
69,many
70,things
71,would
72,like
73,say
74,know
75,said
76,maybe
77,gonna
78,one
79,saves
80,wonderwall
81,said
82,maybe
83,said
84,maybe
85,gonna
86,one
87,saves
88,wonderwall
89,said
90,maybe
91,said
92,maybe
93,gonna
94,one
95,saves
96,saves
97,gonna
98,one
99,saves
100,saves
101,gonna
102,one
103,saves
104,instrumental
