,Whatever It Takes_Lifehouse
0,strangled
1,smile
2,fell
3,face
4,kills
5,hurt
6,way
7,worst
8,part
9,even
10,know
11,there's
12,million
13,reasons
14,go
15,find
16,reason
17,stay
18,i'll
19,whatever
20,takes
21,turn
22,around
23,know
24,what's
25,stake
26,know
27,i've
28,let
29,give
30,chance
31,believe
32,change
33,i'll
34,keep
35,us
36,together
37,whatever
38,takes
39,said
40,we're
41,going
42,make
43,work
44,gotta
45,let
46,inside
47,even
48,though
49,hurts
50,hide
51,broken
52,parts
53,need
54,see
55,said
56,like
57,way
58,gotta
59,gotta
60,love
61,ever
62,love
63,i'll
64,whatever
65,takes
66,turn
67,around
68,know
69,what's
70,stake
71,know
72,i've
73,let
74,give
75,chance
76,give
77,break
78,i'll
79,keep
80,us
81,together
82,know
83,deserve
84,much
85,better
86,remember
87,time
88,told
89,way
90,felt
91,i'd
92,lost
93,without
94,never
95,find
96,let's
97,hold
98,onto
99,everything
100,else
101,start
102,start
103,i'll
104,whatever
105,takes
106,turn
107,around
108,know
109,what's
110,stake
111,know
112,i've
113,let
114,give
115,chance
116,believe
117,change
118,i'll
119,keep
120,us
121,together
122,whatever
123,takes
