,Pictures Of You_The Last Goodnight
0,clock
1,upon
2,wall
3,story
4,us
5,first
6,sound
7,newborn
8,child
9,starts
10,crawl
11,war
12,that's
13,never
14,soldier
15,gun
16,mother
17,waiting
18,phone
19,praying
20,son
21,pictures
22,pictures
23,hung
24,upon
25,wall
26,world
27,see
28,pictures
29,pictures
30,remind
31,us
32,used
33,drug
34,cures
35,blocked
36,governmental
37,wall
38,scientists
39,inside
40,lab
41,waiting
42,call
43,earthquake
44,weather
45,got
46,shaking
47,inside
48,i'm
49,high
50,dry
51,pictures
52,pictures
53,hung
54,upon
55,wall
56,world
57,see
58,pictures
59,pictures
60,remind
61,us
62,used
63,confess
64,every
65,secret
66,moment
67,every
68,stolen
69,promise
70,believed
71,confess
72,lies
73,us
74,lies
75,boxers
76,ring
77,bells
78,never
79,sing
80,title
81,can't
82,win
83,matter
84,hard
85,might
86,swing
87,pictures
88,pictures
89,hung
90,upon
91,wall
92,world
93,see
94,pictures
95,pictures
96,remind
97,us
98,could
99,pictures
100,pictures
101,hung
102,upon
103,wall
104,world
105,see
106,pictures
107,pictures
108,remind
109,us
110,could
111,could
112,could
113,pictures
114,pictures
115,remind
116,us
117,could
118,could
