,Midnight Bottle_Colbie Caillat
0,midnight
1,bottle
2,take
3,calmly
4,memories
5,everything
6,come
7,back
8,midnight
9,bottle
10,make
11,real
12,feels
13,like
14,make
15,believe
16,see
17,little
18,clearly
19,like
20,every
21,single
22,move
23,make
24,kissing
25,carefully
26,corners
27,dreaming
28,eyes
29,i've
30,got
31,midnight
32,bottle
33,gonna
34,drink
35,one
36,way
37,ticket
38,takes
39,times
40,everything
41,felt
42,right
43,tonight
44,midnight
45,bottle
46,gonna
47,ease
48,pain
49,feelings
50,driving
51,insane
52,think
53,everything's
54,right
55,tonight
56,got
57,midnight
58,bottle
59,drifting
60,candlelight
61,find
62,old
63,time
64,midnight
65,bottle
66,forgot
67,good
68,felt
69,dream
70,like
71,'cause
72,lately
73,i've
74,stumbling
75,feels
76,like
77,i'm
78,recovering
79,think
80,tonight
81,i've
82,got
83,midnight
84,bottle
85,gonna
86,drink
87,one
88,way
89,ticket
90,takes
91,times
92,everything
93,felt
94,right
95,tonight
96,midnight
97,bottle
98,gonna
99,ease
100,pain
101,feelings
102,driving
103,insane
104,think
105,everything's
106,right
107,tonight
108,tonight
109,oh
110,tonight
111,tonight
112,i've
113,got
114,midnight
115,bottle
116,gonna
117,drink
118,one
119,way
120,ticket
121,takes
122,times
123,everything
124,felt
125,right
126,tonight
127,midnight
128,bottle
129,gonna
130,ease
131,pain
132,feelings
133,driving
134,insane
135,think
136,everything's
137,right
138,tonight
139,yeah
140,midnight
141,bottle
142,take
143,time
144,away
