,Never Say Goodbye_Bon Jovi
0,sit
1,smokey
2,room
3,night
4,end
5,pass
6,time
7,strangers
8,bottle's
9,friend
10,remember
11,used
12,park
13,butler
14,street
15,dark
16,remember
17,lost
18,keys
19,lost
20,backseat
21,baby
22,remember
23,used
24,talk
25,busting
26,we'd
27,break
28,hearts
29,together
30,forever
31,never
32,say
33,goodbye
34,never
35,say
36,goodbye
37,old
38,friends
39,hoping
40,would
41,never
42,end
43,say
44,goodbye
45,never
46,say
47,goodbye
48,holdin'
49,got
50,try
51,holdin'
52,never
53,say
54,goodbye
55,remember
56,days
57,skipping
58,school
59,racing
60,cars
61,cool
62,six
63,pack
64,radio
65,need
66,place
67,go
68,remember
69,prom
70,night
71,fight
72,band
73,played
74,favorite
75,song
76,held
77,arms
78,strong
79,danced
80,close
81,danced
82,slow
83,swore
84,i'd
85,never
86,let
87,go
88,together
89,forever
90,never
91,say
92,goodbye
93,never
94,say
95,goodbye
96,old
97,friends
98,hoping
99,would
100,never
101,end
102,say
103,goodbye
104,never
105,say
106,goodbye
107,holdin'
108,got
109,try
110,holdin'
111,never
112,say
113,goodbye
114,guess
115,say
116,used
117,talk
118,busting
119,we'd
120,break
121,hearts
122,together
123,forever
124,never
125,say
126,goodbye
127,never
128,say
129,goodbye
130,old
131,friends
132,hoping
133,would
134,never
135,end
136,say
137,goodbye
138,never
139,say
140,goodbye
141,holdin'
142,got
143,try
144,holdin'
145,never
146,say
147,goodbye
148,yeah
149,yeah
