,At My Most Beautiful_R.E.M.
0,i've
1,found
2,way
3,make
4,i've
5,found
6,way
7,way
8,make
9,smile
10,read
11,bad
12,poetry
13,machine
14,save
15,messages
16,hear
17,voice
18,always
19,listen
20,carefully
21,awkward
22,rhymes
23,always
24,say
25,name
26,like
27,know
28,beautiful
29,i've
30,found
31,way
32,make
33,i've
34,found
35,way
36,way
37,make
38,smile
39,beautiful
40,count
41,eyelashes
42,secretly
43,every
44,one
45,whisper
46,love
47,let
48,sleep
49,know
50,closed
51,eye
52,watching
53,listening
54,thought
55,saw
56,smile
57,i've
58,found
59,way
60,make
61,i've
62,found
63,way
64,way
65,make
66,smile
