,Never Tear Us Apart_INXS
0,ask
1,know
2,true
3,tell
4,love
5,precious
6,heart
7,standing
8,two
9,worlds
10,collided
11,could
12,never
13,tear
14,us
15,apart
16,could
17,live
18,thousand
19,years
20,hurt
21,i'd
22,make
23,wine
24,tears
25,told
26,could
27,fly
28,cause
29,wings
30,us
31,know
32,ii
33,standing
34,two
35,worlds
36,collided
37,could
38,never
39,ever
40,tear
41,us
42,apart
43,standing
44,two
45,worlds
46,collided
47,could
48,never
49,ever
50,tear
51,us
52,apart
53,standing
54,two
55,worlds
56,collided
57,could
58,never
59,tear
60,us
61,apart
62,standing
63,two
64,worlds
65,collided
66,could
67,never
68,tear
69,us
70,apart
71,standing
