,Love You To_The Beatles
0,george
1,harrison
2,day
3,goes
4,fast
5,turn
6,around
7,past
8,get
9,time
10,hang
11,sign
12,george
13,harrison
14,love
15,i'm
16,dead
17,old
18,man
19,george
20,harrison
21,lifetime
22,short
23,new
24,one
25,can't
26,bought
27,got
28,means
29,lot
30,george
31,harrison
32,make
33,love
34,day
35,long
36,make
37,love
38,singing
39,songs
40,make
41,love
42,day
43,long
44,make
45,love
46,singing
47,songs
48,george
49,harrison
50,there's
51,people
52,standing
53,round
54,who'll
55,screw
56,ground
57,they'll
58,fill
59,sins
60,see
61,george
62,harrison
63,i'll
64,make
65,love
66,want
