,Photograph_Ed Sheeran
0,loving
1,hurt
2,loving
3,hurt
4,sometimes
5,thing
6,know
7,gets
8,hard
9,know
10,get
11,hard
12,sometimes
13,thing
14,makes
15,us
16,feel
17,alive
18,prechorus
19,keep
20,love
21,photograph
22,made
23,memories
24,eyes
25,never
26,closing
27,hearts
28,never
29,broken
30,time's
31,forever
32,frozen
33,still
34,keep
35,inside
36,pocket
37,ripped
38,jeans
39,holding
40,close
41,eyes
42,meet
43,ever
44,alone
45,wait
46,come
47,home
48,loving
49,heal
50,loving
51,mend
52,soul
53,thing
54,know
55,know
56,swear
57,get
58,easier
59,remember
60,every
61,piece
62,ya
63,thing
64,take
65,us
66,die
67,prechorus
68,keep
69,love
70,photograph
71,made
72,memories
73,eyes
74,never
75,closing
76,hearts
77,never
78,broken
79,time's
80,forever
81,frozen
82,still
83,keep
84,inside
85,pocket
86,ripped
87,jeans
88,holding
89,close
90,eyes
91,meet
92,ever
93,alone
94,hurt
95,that's
96,okay
97,baby
98,words
99,bleed
100,inside
101,pages
102,hold
103,ever
104,let
105,go
106,wait
107,come
108,home
109,wait
110,come
111,home
112,wait
113,come
114,home
115,wait
116,come
117,home
118,oh
119,fit
120,inside
121,necklace
122,got
123,next
124,heartbeat
125,keep
126,deep
127,within
128,soul
129,hurt
130,that's
131,okay
132,baby
133,words
134,bleed
135,inside
136,pages
137,hold
138,ever
139,let
140,go
141,i'm
142,away
143,remember
144,kissed
145,lamppost
146,back
147,sixth
148,street
149,hearing
150,whisper
151,phone
152,wait
153,come
154,home
