,Give Me Love_Ed Sheeran
0,give
1,love
2,like
3,'cause
4,lately
5,i've
6,waking
7,alone
8,paint
9,splattered
10,teardrops
11,shirt
12,told
13,i'd
14,let
15,go
16,refrain
17,i'll
18,fight
19,corner
20,maybe
21,tonight
22,i'll
23,call
24,ya
25,blood
26,turns
27,alcohol
28,wanna
29,hold
30,ya
31,prechorus
32,give
33,little
34,time
35,burn
36,we’ll
37,play
38,hide
39,seek
40,turn
41,around
42,want
43,taste
44,lips
45,allow
46,mamy
47,mymyy
48,oh
49,give
50,love
51,mamy
52,mymyy
53,oh
54,give
55,love
56,mamy
57,mymyy
58,oh
59,give
60,love
61,mamy
62,mymyy
63,oh
64,give
65,love
66,mamy
67,mymyy
68,give
69,love
70,give
71,love
72,like
73,never
74,'cause
75,lately
76,i've
77,craving
78,still
79,feel
80,maybe
81,let
82,go
83,refrain
84,know
85,i'll
86,fight
87,corner
88,tonight
89,i'll
90,call
91,ya
92,blood
93,drowning
94,alcohol
95,wanna
96,hold
97,ya
98,prechorus
99,give
100,little
101,time
102,burn
103,we’ll
104,play
105,hide
106,seek
107,turn
108,around
109,want
110,taste
111,lips
112,allow
113,mamy
114,mymyy
115,oh
116,give
117,love
118,give
119,little
120,time
121,burn
122,we’ll
123,play
124,hide
125,seek
126,turn
127,around
128,want
129,taste
130,lips
131,allow
132,mamy
133,mymyy
134,oh
135,give
136,love
137,mamy
138,mymyy
139,oh
140,give
141,love
142,mamy
143,mymyy
144,oh
145,give
146,love
147,mamy
148,mymyy
149,oh
150,give
151,love
152,mamy
153,mymyy
154,give
155,love
156,mmy
157,mmy
158,mmy
159,give
160,love
161,lover
162,mmy
163,mmy
164,mmy
165,give
166,love
167,lover
168,mmy
169,mmy
170,mmy
171,give
172,love
173,lover
174,mmy
175,mmy
176,mmy
177,give
178,love
179,lover
180,mmy
181,mmy
182,mmy
183,give
184,love
185,lover
186,mmy
187,mmy
188,mmy
189,give
190,love
191,lover
192,mmy
193,mmy
194,mmy
195,give
196,love
197,lover
198,mmy
199,mmy
200,mmy
201,give
202,love
203,lover
204,mmy
205,mmy
206,mmy
207,give
208,love
209,lover
210,mmy
211,mmy
212,mmy
213,give
214,love
215,lover
216,mmy
217,mmy
218,mmy
219,give
220,love
221,lover
222,mmy
223,mmy
224,mmy
225,give
226,love
227,lover
228,collision
229,love
230,love
231,love
232,give
233,love
234,give
235,love
236,give
237,love
238,love
239,give
240,love
241,extended
242,mamy
243,mymyy
244,oh
245,give
246,love
247,mamy
248,mymyy
249,oh
250,give
251,love
252,mamy
253,mymyy
254,oh
255,give
256,love
257,mamy
258,mymyy
259,oh
260,give
261,love
262,mamy
263,mymyy
264,oh
265,give
266,love
267,mamy
268,mymyy
269,oh
270,give
271,love
272,mamy
273,mymyy
274,oh
275,give
276,love
277,mamy
278,mymyy
279,oh
280,give
281,love
282,mamy
283,mymyy
284,oh
285,give
286,love
287,mamy
288,mymyy
289,oh
290,give
291,love
292,mamy
293,mymyy
294,oh
295,give
296,love
297,mamy
298,mymyy
299,oh
300,give
301,love
