,Set the Fire to the Third Bar_Snow Patrol
0,find
1,map
2,draw
3,straight
4,line
5,rivers
6,farms
7,state
8,lines
9,distance
10,fingerlengths
11,see
12,touch
13,place
14,i'd
15,find
16,face
17,fingers
18,creases
19,distant
20,dark
21,places
22,hang
23,coat
24,first
25,bar
26,peace
27,i've
28,found
29,far
30,laughter
31,penetrates
32,silence
33,drunken
34,men
35,find
36,flaws
37,science
38,words
39,mostly
40,noises
41,ghosts
42,voices
43,words
44,memory
45,like
46,music
47,miles
48,lay
49,cold
50,ground
51,pray
52,something
53,picks
54,sets
55,warm
56,arms
57,traveled
58,far
59,we'd
60,set
61,fire
62,third
63,bar
64,we'd
65,share
66,like
67,island
68,exhausted
69,close
70,eyelids
71,dreaming
72,pick
73,last
74,place
75,left
76,soft
77,skin
78,weeping
79,joy
80,can't
81,keep
82,miles
83,lay
84,cold
85,ground
86,pray
87,something
88,picks
89,sets
90,warm
91,arms
92,miles
93,lay
94,cold
95,ground
96,pray
97,something
98,picks
99,sets
100,warm
101,arms
