,I'm a Lady (feat. Trouble Andrew)_Santigold
0,won’t
1,run
2,tell
3,boyfriend
4,tell
5,don’t
6,hold
7,breath
8,got
9,money
10,saving
11,got
12,hearts
13,i’ll
14,breakin
15,know
16,someday
17,they’ll
18,make
19,martyr
20,know
21,someday
22,they’ll
23,make
24,martyr
25,she’s
26,fine
27,like
28,sometimes
29,wave
30,high
31,everyone
32,see
33,i’m
34,lady
35,got
36,mind
37,made
38,got
39,mind
40,made
41,know
42,spend
43,magic
44,reel
45,try
46,hold
47,light
48,i’m
49,lady
50,got
51,mind
52,made
53,got
54,mind
55,made
56,like
57,watch
58,way
59,wind
60,blows
61,know
62,don’t
63,yet
64,ooh
65,oh
66,look
67,pretty
68,you’re
69,sweet
70,see
71,far
72,get
73,see
74,far
75,get
76,she’s
77,fine
78,dream’s
79,gone
80,dream’s
81,gone
82,one
83,said
84,one
85,said
86,make
87,something
88,what’s
89,head
90,dream’s
91,gone
92,dream’s
93,gone
