,Jasmine (Demo)_Jai Paul
0,jasmine
1,let
2,would
3,knock
4,like
5,bottle
6,gin
7,jasmine
8,'cause
9,scare
10,'cause
11,i'm
12,ill
13,got
14,trust
15,even
16,one
17,else
18,jasmine
19,jasmine
20,see
21,jasmine
22,what's
23,boy
24,please
25,come
26,back
27,make
28,dream
29,come
30,true
31,'cause
32,comes
33,heartbreak
34,what's
35,little
36,girl
37,like
38,know
39,melt
40,heart
41,stone
42,make
43,dream
44,come
45,true
46,jasmine
47,yeah
48,jasmine
49,get
50,friday
51,saturday
52,day
53,must
54,real
55,creep
56,'cause
57,think
58,really
59,nothin'
60,'cause
61,think
62,wrong
63,'cause
64,there's
65,nothin'
66,like
67,see
68,jasmine
69,what's
70,boy
71,please
72,come
73,back
74,make
75,dream
76,come
77,true
78,'cause
79,comes
80,heartbreak
81,what's
82,little
83,girl
84,like
85,know
86,melt
87,heart
88,stone
89,make
90,dream
91,come
92,true
93,see
94,jasmine
95,know
96,think
97,look
98,think
99,i'm
100,weak
101,comes
102,heartbreak
103,wanna
104,feel
105,way
106,come
107,back
108,baby
109,make
110,dream
111,come
112,true
113,make
114,dream
115,come
116,true
117,make
118,dream
119,come
120,true
