,No Regrets_Robbie Williams
0,tell
1,story
2,change
3,we'd
4,live
5,lives
6,together
7,enstranged
8,prechorus
9,lose
10,mind
11,mine
12,give
13,away
14,stay
15,watch
16,cry
17,time
18,softly
19,slip
20,away
21,regrets
22,work
23,regrets
24,hurt
25,sing
26,love
27,song
28,drop
29,line
30,suppose
31,point
32,view
33,tell
34,i'm
35,fine
36,know
37,outside
38,looked
39,good
40,felt
41,things
42,going
43,wrong
44,like
45,mother
46,prechorus
47,want
48,hate
49,that's
50,left
51,bitter
52,aftertaste
53,fantasy
54,could
55,live
56,regrets
57,work
58,regrets
59,hurt
60,we've
61,told
62,stay
63,late
64,know
65,they're
66,still
67,talking
68,far
69,short
70,carry
71,weight
72,demons
73,head
74,return
75,videos
76,they're
77,late
78,could
79,stop
80,hating
81,goodbye
82,i'd
83,feel
84,sorry
85,us
86,instead
87,remember
88,photographs
89,insane
90,ones
91,laugh
92,lame
93,time
94,lives
95,well
96,thank
97,real
98,blast
99,regrets
100,work
101,regrets
102,hurt
103,write
104,love
105,song
106,drop
107,line
108,suppose
109,point
110,view
111,tell
112,i'm
113,fine
114,everything
115,wanted
116,every
117,time
118,walked
119,away
120,everytime
121,told
122,leave
123,wanted
124,stay
125,every
126,time
127,looked
128,everytime
129,smiled
130,felt
131,vacant
132,treat
133,like
134,child
135,loved
136,way
137,used
138,laugh
139,loved
140,way
141,used
142,smile
143,often
144,sit
145,think
146,passes
147,think
148,someone
149,else
150,instead
151,guess
152,love
153,officially
154,dead
