,Stickwitu_The Pussycat Dolls
0,nicole
1,scherzinger
2,mmm
3,come
4,nicole
5,scherzinger
6,melody
7,thornton
8,carmit
9,bachar
10,wanna
11,go
12,another
13,day
14,i'm
15,telling
16,exactly
17,mind
18,seems
19,like
20,everybody's
21,breaking
22,throwing
23,love
24,away
25,know
26,got
27,good
28,thing
29,right
30,that's
31,say
32,hey
33,melody
34,thornton
35,nobody
36,gonna
37,love
38,better
39,mmh
40,i'ma
41,stick
42,forever
43,mmh
44,nobody
45,gonna
46,take
47,higher
48,i'ma
49,stick
50,mmh
51,know
52,appreciate
53,i'ma
54,stick
55,baby
56,nobody
57,ever
58,made
59,feel
60,way
61,i'ma
62,stick
63,nicole
64,scherzinger
65,melody
66,thornton
67,carmit
68,bachar
69,ashley
70,roberts
71,jessica
72,sutta
73,kimberly
74,wyatt
75,wanna
76,go
77,another
78,day
79,i'm
80,telling
81,exactly
82,mind
83,see
84,way
85,ride
86,private
87,lives
88,ain't
89,nobody
90,getting
91,want
92,know
93,one
94,one
95,say
96,melody
97,thornton
98,nicole
99,scherzinger
100,nobody
101,gonna
102,love
103,better
104,mmh
105,i'ma
106,stick
107,forever
108,nobody
109,gonna
110,take
111,higher
112,i'ma
113,stick
114,oh
115,bae
116,know
117,appreciate
118,i'ma
119,stick
120,baby
121,yeah
122,nobody
123,ever
124,made
125,feel
126,way
127,i'ma
128,stick
129,nicole
130,scherzinger
131,melody
132,thornton
133,carmit
134,bachar
135,ashley
136,roberts
137,jessica
138,sutta
139,kimberly
140,wyatt
141,ain't
142,nothing
143,else
144,could
145,need
146,nothing
147,else
148,could
149,need
150,i'm
151,singing
152,'cause
153,got
154,we'll
155,making
156,love
157,endlessly
158,i'm
159,baby
160,i'm
161,baby
162,baby
163,higher
164,nicole
165,scherzinger
166,melody
167,thornton
168,worry
169,people
170,hanging
171,around
172,ain't
173,bringing
174,us
175,know
176,know
177,that's
178,counts
179,hey
180,hey
181,worry
182,people
183,hanging
184,around
185,ain't
186,bringing
187,us
188,mmh
189,know
190,know
191,that's
192,that's
193,say
194,hey
195,nicole
196,scherzinger
197,nobody
198,gonna
199,love
200,better
201,i'ma
202,stick
203,forever
204,nobody
205,gonna
206,take
207,higher
208,i'ma
209,stick
210,come
211,know
212,appreciate
213,i'ma
214,stick
215,baby
216,nobody
217,ever
218,made
219,feel
220,way
221,i'ma
222,stick
223,nobody
224,gonna
225,love
226,better
227,i'ma
228,stick
229,forever
230,nobody
231,gonna
232,take
233,higher
234,i'ma
235,stick
236,know
237,appreciate
238,i'ma
239,stick
240,baby
241,nicole
242,scherzinger
243,nobody
244,ever
245,made
246,feel
247,way
248,i'ma
249,stick
