,To the Moon & Back_Savage Garden
0,taking
1,time
2,making
3,reasons
4,justify
5,hurt
6,inside
7,guess
8,knows
9,smiles
10,look
11,eyes
12,everyone's
13,got
14,theory
15,bitter
16,one
17,they're
18,saying
19,mama
20,never
21,loved
22,much
23,daddy
24,never
25,keeps
26,touch
27,that's
28,shies
29,away
30,human
31,affection
32,somewhere
33,private
34,place
35,packs
36,bags
37,outer
38,space
39,waiting
40,right
41,kind
42,pilot
43,come
44,she'll
45,say
46,saying
47,would
48,fly
49,moon
50,back
51,baby
52,i've
53,got
54,ticket
55,world
56,belong
57,would
58,baby
59,can't
60,remember
61,time
62,felt
63,needed
64,love
65,red
66,color
67,blind
68,friends
69,they've
70,tried
71,treason
72,crimes
73,never
74,defined
75,saying
76,love
77,like
78,barren
79,place
80,reaching
81,human
82,faith
83,like
84,journey
85,map
86,baby's
87,gonna
88,take
89,dive
90,push
91,shift
92,overdrive
93,send
94,signal
95,hanging
96,hopes
97,stars
98,pleasant
99,dream
100,would
101,fly
102,moon
103,back
104,baby
105,i've
106,got
107,ticket
108,world
109,belong
110,would
111,baby
112,hold
113,hold
114,mama
115,never
116,loved
117,much
118,daddy
119,never
120,keeps
121,touch
122,that's
123,shies
124,away
125,human
126,affection
127,somewhere
128,private
129,place
130,packs
131,bags
132,outer
133,space
134,waiting
135,right
136,kind
137,pilot
138,come
139,she'll
140,say
141,saying
142,would
143,fly
144,moon
145,back
146,baby
147,i've
148,got
149,ticket
150,world
151,belong
152,would
153,baby
154,would
155,fly
156,moon
157,back
158,baby
159,i've
160,got
161,ticket
162,world
163,belong
164,would
165,baby
