,All I Have to Give_Backstreet Boys
0,nick
1,brian
2,know
3,make
4,cry
5,i'll
6,make
7,smile
8,fancy
9,car
10,get
11,i'd
12,walk
13,thousand
14,miles
15,care
16,buys
17,nice
18,things
19,gifts
20,come
21,heart
22,know
23,girl
24,i'd
25,make
26,we'd
27,never
28,apart
29,brian
30,love
31,give
32,without
33,think
34,could
35,live
36,wish
37,could
38,give
39,world
40,love
41,give
42,howie
43,aj
44,talk
45,seem
46,like
47,he's
48,even
49,listening
50,word
51,say
52,that's
53,okay
54,babe
55,tell
56,problems
57,i'll
58,try
59,best
60,kiss
61,away
62,leave
63,need
64,friends
65,get
66,time
67,baby
68,please
69,i'm
70,knees
71,praying
72,day
73,mine
74,aj
75,love
76,give
77,without
78,think
79,could
80,live
81,wish
82,could
83,give
84,world
85,love
86,give
87,oh
88,nick
89,howie
90,brian
91,aj
92,kevin
93,hey
94,girl
95,want
96,cry
97,inside
98,money
99,world
100,could
101,never
102,add
103,love
104,inside
105,inside
106,give
107,give
108,give
109,everything
110,one
111,need
112,love
113,give
114,brian
115,aj
116,love
117,give
118,love
119,without
120,think
121,could
122,live
123,think
124,live
125,without
126,wish
127,could
128,give
129,world
130,love
131,give
132,love
133,give
134,without
135,think
136,could
137,live
138,wish
139,could
140,give
141,world
142,love
143,give
144,nick
145,brian
146,oooh
147,give
148,without
149,think
150,could
151,live
152,give
153,world
154,baby
155,love
156,give
157,that's
158,got
159,give
160,love
161,give
162,yeah
163,yeah
164,without
165,think
166,could
167,live
168,wish
169,could
170,give
171,world
172,love
173,give
