,As Lovers Go_Dashboard Confessional
0,said
1,i've
2,got
3,honest
4,wasting
5,time
6,fishing
7,around
8,said
9,must
10,mistaken
11,i'm
12,foolin'
13,feelin'
14,real
15,said
16,gotta
17,crazy
18,take
19,kind
20,easy
21,mark
22,got
23,wits
24,got
25,looks
26,got
27,passion
28,swear
29,got
30,wrong
31,wrong
32,wrong
33,got
34,i'll
35,true
36,i'll
37,useful
38,i'll
39,cavalier
40,i'll
41,dear
42,i'll
43,belong
44,let
45,easy
46,lovers
47,go
48,complicate
49,hesitating
50,wonderful
51,loving
52,goes
53,tailormade
54,what's
55,sense
56,waiting
57,said
58,i've
59,got
60,honest
61,i've
62,waiting
63,life
64,long
65,thought
66,asylum
67,bound
68,seeing
69,makes
70,think
71,twice
72,makes
73,sane
74,fear
75,i'll
76,go
77,crazy
78,leave
79,side
80,got
81,wits
82,got
83,looks
84,got
85,passion
86,brave
87,enough
88,leave
89,tonight
90,tonight
91,tonight
92,got
93,i'll
94,true
95,i'll
96,useful
97,i'll
98,cavalier
99,i'll
100,dear
101,i'll
102,belong
103,let
104,easy
105,lovers
106,go
107,complicate
108,hesitating
109,wonderful
110,loving
111,goes
112,tailormade
113,what's
114,sense
115,waiting
116,easy
117,lovers
118,go
119,complicate
120,hesitating
121,wonderful
122,loving
123,goes
124,tailormade
125,what's
126,sense
127,waiting
128,easy
129,lovers
130,go
131,complicate
132,hesitating
133,wonderful
134,loving
135,goes
136,tailormade
137,what's
138,sense
139,waiting
