,She's Like the Wind_Patrick Swayze
0,patrick
1,swayze
2,like
3,wind
4,tree
5,rides
6,night
7,next
8,leads
9,moonlight
10,burn
11,sun
12,taken
13,heart
14,know
15,done
16,prechorus
17,patrick
18,swayze
19,feel
20,breath
21,face
22,body
23,close
24,can't
25,look
26,eyes
27,league
28,patrick
29,swayze
30,fool
31,believe
32,anything
33,needs
34,like
35,wind
36,patrick
37,swayze
38,look
39,mirror
40,see
41,young
42,old
43,man
44,dream
45,fooling
46,she'll
47,stop
48,pain
49,living
50,without
51,i'd
52,go
53,insane
54,prechorus
55,patrick
56,swayze
57,feel
58,breath
59,face
60,body
61,close
62,can't
63,look
64,eyes
65,league
66,patrick
67,swayze
68,fool
69,believe
70,anything
71,needs
72,like
73,wind
74,prechorus
75,patrick
76,swayze
77,wendy
78,fraser
79,feel
80,breath
81,face
82,body
83,close
84,can't
85,look
86,eyes
87,league
88,patrick
89,swayze
90,wendy
91,fraser
92,fool
93,believe
94,fool
95,believe
96,like
97,wind
98,fool
99,believe
100,fool
101,believe
102,like
103,wind
104,fool
105,believe
106,fool
107,believe
108,like
109,wind
110,fool
111,believe
112,fool
113,believe
114,like
115,wind
116,fool
117,like
118,wind
119,like
120,wind
121,fool
122,like
123,wind
124,fool
