,When You Say Nothing at All_Ronan Keating
0,amazing
1,speak
2,right
3,heart
4,without
5,saying
6,word
7,light
8,dark
9,try
10,may
11,never
12,explain
13,hear
14,say
15,thing
16,smile
17,face
18,lets
19,know
20,need
21,there's
22,truth
23,eyes
24,saying
25,never
26,leave
27,touch
28,hand
29,says
30,catch
31,wherever
32,fall
33,say
34,best
35,say
36,nothing
37,day
38,long
39,hear
40,people
41,talking
42,loud
43,hold
44,near
45,drown
46,crowd
47,try
48,may
49,could
50,never
51,define
52,what's
53,said
54,heart
55,mine
56,smile
57,face
58,lets
59,know
60,need
61,there's
62,truth
63,eyes
64,saying
65,never
66,leave
67,touch
68,hand
69,says
70,catch
71,wherever
72,fall
73,say
74,best
75,say
76,best
77,say
78,nothing
79,instrumental
80,oh
81,smile
82,face
83,lets
84,know
85,need
86,there's
87,truth
88,eyes
89,saying
90,never
91,leave
92,touch
93,hand
94,says
95,catch
96,wherever
97,fall
98,say
99,best
100,say
101,best
102,say
103,nothing
104,say
105,best
106,say
107,nothing
108,say
109,best
110,say
111,nothing
112,smile
113,face
114,truth
115,eyes
116,touch
117,hand
118,let's
119,know
120,need
121,say
122,best
123,say
124,nothing
125,say
126,best
127,say
128,nothing
