,Gorilla_Bruno Mars
0,ooh
1,got
2,body
3,full
4,liquor
5,cocaine
6,kicker
7,i'm
8,feeling
9,like
10,i'm
11,thirty
12,feet
13,tall
14,lay
15,lay
16,got
17,legs
18,sky
19,devil
20,eyes
21,let
22,hear
23,say
24,want
25,say
26,say
27,prechorus
28,look
29,look
30,done
31,jungle
32,can't
33,run
34,cause
35,got
36,promise
37,killa
38,banging
39,chest
40,bang
41,bang
42,gorilla
43,ooh
44,yeah
45,baby
46,making
47,love
48,like
49,gorillas
50,ooh
51,yeah
52,baby
53,making
54,love
55,like
56,gorillas
57,yeah
58,got
59,fistful
60,hair
61,look
62,like
63,scared
64,smiling
65,tell
66,daddy
67,cause
68,know
69,like
70,you's
71,dirty
72,little
73,lover
74,neighbors
75,call
76,cops
77,call
78,sheriff
79,call
80,swat
81,stop
82,keep
83,rocking
84,knocking
85,door
86,screaming
87,give
88,baby
89,give
90,motherfucker
91,prechorus
92,look
93,look
94,done
95,jungle
96,can't
97,run
98,cause
99,got
100,promise
101,killa
102,banging
103,chest
104,bang
105,bang
106,gorilla
107,ooh
108,yeah
109,baby
110,making
111,love
112,like
113,gorillas
114,ooh
115,yeah
116,baby
117,making
118,love
119,like
120,gorillas
121,bet
122,never
123,ever
124,felt
125,good
126,good
127,got
128,body
129,trembling
130,like
131,never
132,baby
133,i'm
134,done
135,yoooooooooou
136,yeah
137,breakdown
138,oho
139,baby
140,making
141,love
142,like
143,gorillas
144,oh
145,oh
146,oh
147,oh
148,yeah
149,yeah
150,baby
151,we'll
152,fucking
153,like
154,gorillas
155,oh
156,yeah
157,yeah
158,yeah
159,baby
160,baby
161,aw
162,yeah
163,baby
164,making
165,love
166,like
167,gorillas
168,live
169,girl
170,let
171,take
172,time
173,take
174,time
175,take
176,time
177,babe
178,want
179,one
180,smile
181,want
182,one
183,smile
184,want
185,one
186,smile
187,babe
188,lay
189,besides
190,girl
191,make
192,scream
193,yeah
194,yeah
195,girl
196,let
197,take
198,time
199,take
200,time
201,take
202,time
203,babe
204,want
205,one
206,smile
207,want
208,one
209,smile
210,want
211,one
212,smile
213,babe
214,get
215,inside
216,girl
217,make
218,scream
219,yeah
220,yeah
221,yeah
222,come
223,etc
224,yeah
225,yeah
226,yeah
