,Please Forgive Me_Bryan Adams
0,still
1,feels
2,like
3,first
4,night
5,together
6,feels
7,like
8,first
9,kiss
10,gettin'
11,better
12,baby
13,one
14,better
15,still
16,holdin'
17,still
18,one
19,first
20,time
21,eyes
22,met
23,feeling
24,get
25,feels
26,much
27,stronger
28,wanna
29,love
30,longer
31,still
32,turn
33,fire
34,prechorus
35,feelin'
36,lonely
37,one
38,ever
39,want
40,wanna
41,make
42,good
43,love
44,little
45,please
46,forgive
47,know
48,please
49,forgive
50,can't
51,stop
52,loving
53,deny
54,pain
55,i'm
56,going
57,please
58,forgive
59,need
60,ya
61,like
62,please
63,believe
64,every
65,word
66,say
67,true
68,please
69,forgive
70,can't
71,stop
72,loving
73,still
74,feels
75,like
76,best
77,times
78,together
79,feels
80,like
81,first
82,touch
83,we're
84,still
85,gettin'
86,closer
87,baby
88,can't
89,get
90,close
91,enough
92,i'm
93,still
94,holdin'
95,still
96,number
97,one
98,remember
99,smell
100,skin
101,remember
102,everything
103,remember
104,moves
105,remember
106,yeah
107,remember
108,night
109,know
110,still
111,prechorus
112,feelin'
113,lonely
114,one
115,ever
116,want
117,wanna
118,make
119,good
120,love
121,little
122,please
123,forgive
124,know
125,please
126,forgive
127,can't
128,stop
129,loving
130,deny
131,pain
132,i'm
133,going
134,please
135,forgive
136,need
137,ya
138,like
139,oh
140,believe
141,every
142,word
143,say
144,true
145,please
146,forgive
147,can't
148,stop
149,loving
150,one
151,thing
152,i'm
153,sure
154,way
155,make
156,love
157,one
158,thing
159,depend
160,us
161,stay
162,strong
163,every
164,word
165,every
166,breath
167,i'm
168,prayin'
169,that's
170,i'm
171,sayin'
172,please
173,forgive
174,know
175,please
176,forgive
177,can't
178,stop
179,loving
180,deny
181,pain
182,i'm
183,going
184,please
185,forgive
186,need
187,like
188,babe
189,believe
190,every
191,word
192,say
193,true
194,please
195,forgive
196,can't
197,stop
198,loving
199,never
200,leave
201,know
202,please
203,forgive
204,can't
205,stop
206,loving
207,can't
208,stop
209,loving
