,Me vs. Maradona vs. Elvis_Brand New
0,one
1,two
2,get
3,used
4,room
5,go
6,slow
7,first
8,make
9,moves
10,five
11,six
12,bring
13,car
14,number
15,nine
16,head
17,bar
18,sad
19,true
20,cash
21,ious
22,got
23,desperate
24,desires
25,unadmirable
26,plans
27,tongue
28,taste
29,gin
30,malicious
31,intent
32,bring
33,back
34,bar
35,get
36,cold
37,sober
38,straight
39,face
40,gets
41,clothes
42,they're
43,scared
44,know
45,crimes
46,they'll
47,commit
48,they'll
49,kiss
50,get
51,home
52,lie
53,awake
54,lie
55,fun
56,fake
57,way
58,hold
59,let
60,fall
61,every
62,empty
63,word
64,say
65,barely
66,conscious
67,door
68,stand
69,eyes
70,fighting
71,sleep
72,mouth
73,makes
74,demands
75,laugh
76,every
77,word
78,trying
79,hard
80,cute
81,almost
82,feel
83,sorry
84,i'm
85,gonna
86,hair
87,smells
88,smoke
89,cast
90,first
91,stone
92,sin
93,spend
94,night
95,alone
96,brass
97,buttons
98,coat
99,hold
100,cold
101,shape
102,heart
103,cut
104,stone
105,using
106,looks
107,thrown
108,start
109,let
110,way
111,swear
112,i'll
113,tear
114,apart
115,cause
116,drunk
117,scared
118,ladies
119,night
120,girls
121,drink
122,free
123,lie
124,awake
125,lie
126,fun
127,fake
128,way
129,hold
130,let
131,fall
132,every
133,empty
134,word
135,say
136,lie
137,awake
138,lie
139,fun
140,fake
141,way
142,hold
143,let
144,fall
145,every
146,empty
147,word
148,say
