,Someone Like You_Adele
0,heard
1,settled
2,found
3,girl
4,married
5,heard
6,dreams
7,came
8,true
9,guess
10,gave
11,things
12,give
13,old
14,friend
15,shy
16,ain't
17,like
18,hold
19,back
20,hide
21,light
22,prechorus
23,hate
24,turn
25,blue
26,uninvited
27,stay
28,away
29,fight
30,hoped
31,see
32,face
33,reminded
34,never
35,mind
36,i'll
37,find
38,someone
39,like
40,wish
41,nothing
42,best
43,forget
44,beg
45,i'll
46,remember
47,said
48,sometimes
49,lasts
50,love
51,sometimes
52,hurts
53,instead
54,sometimes
55,lasts
56,love
57,sometimes
58,hurts
59,instead
60,know
61,time
62,flies
63,yesterday
64,time
65,lives
66,born
67,raised
68,summer
69,haze
70,bound
71,surprise
72,glory
73,days
74,prechorus
75,hate
76,turn
77,blue
78,uninvited
79,stay
80,away
81,fight
82,hoped
83,see
84,face
85,reminded
86,never
87,mind
88,i'll
89,find
90,someone
91,like
92,wish
93,nothing
94,best
95,forget
96,beg
97,i'll
98,remember
99,said
100,sometimes
101,lasts
102,love
103,sometimes
104,hurts
105,instead
106,nothing
107,compares
108,worries
109,cares
110,regrets
111,mistakes
112,they're
113,memories
114,made
115,would
116,known
117,bittersweet
118,would
119,taste
120,breakdown
121,never
122,mind
123,i'll
124,find
125,someone
126,like
127,wish
128,nothing
129,best
130,forget
131,beg
132,i'll
133,remember
134,said
135,sometimes
136,lasts
137,love
138,sometimes
139,hurts
140,instead
141,never
142,mind
143,i'll
144,find
145,someone
146,like
147,wish
148,nothing
149,best
150,forget
151,beg
152,i'll
153,remember
154,said
155,sometimes
156,lasts
157,love
158,sometimes
159,hurts
160,instead
161,sometimes
162,lasts
163,love
164,sometimes
165,hurts
166,instead
