,I Woke Up In A Car_Something Corporate
0,woke
1,new
2,york
3,city
4,sleep
5,behind
6,wheel
7,caught
8,train
9,poughkeepsie
10,time
11,stood
12,still
13,wrote
14,letter
15,san
16,diego
17,qualify
18,luck
19,flights
20,connect
21,arizona
22,think
23,i'll
24,stay
25,stuck
26,prechorus
27,whoa
28,well
29,woke
30,car
31,traced
32,away
33,fog
34,could
35,see
36,mississippi
37,knees
38,i've
39,never
40,lost
41,i've
42,never
43,felt
44,much
45,home
46,please
47,write
48,folks
49,throw
50,away
51,keys
52,postchorus
53,woke
54,car
55,woke
56,car
57,met
58,girl
59,kept
60,tattoos
61,homes
62,loved
63,i'd
64,paint
65,body
66,skin
67,gone
68,wrote
69,letter
70,passed
71,rockford
72,said
73,forget
74,maybe
75,maybe
76,know
77,yet
78,prechorus
79,whoa
80,well
81,woke
82,car
83,traced
84,away
85,fog
86,could
87,see
88,mississippi
89,knees
90,i've
91,never
92,lost
93,i've
94,never
95,felt
96,much
97,home
98,please
99,write
100,folks
101,throw
102,away
103,keys
104,postchorus
105,woke
106,car
107,woke
108,car
109,maybe
110,could
111,live
112,forever
113,ever
114,known
115,waiting
116,whenever
117,alone
118,prechorus
119,whoa
120,well
121,woke
122,car
123,traced
124,away
125,fog
126,could
127,see
128,mississippi
129,knees
130,i've
131,never
132,lost
133,i've
134,never
135,felt
136,much
137,home
138,please
139,write
140,folks
141,throw
142,away
143,keys
144,well
145,woke
146,car
147,traced
148,away
149,fog
150,could
151,see
152,mississippi
153,knees
154,i've
155,never
156,lost
157,i've
158,never
159,felt
160,much
161,home
162,please
163,write
164,folks
165,throw
166,away
167,keys
168,woke
169,car
170,woke
171,car
172,woke
173,car
