,I Will Always Love You_Whitney Houston
0,stay
1,would
2,way
3,i'll
4,go
5,know
6,i'll
7,think
8,every
9,step
10,way
11,always
12,love
13,always
14,love
15,darling
16,bittersweet
17,memories
18,i'm
19,taking
20,goodbye
21,please
22,cry
23,know
24,i'm
25,need
26,always
27,love
28,always
29,love
30,hope
31,life
32,treats
33,kind
34,hope
35,dreamed
36,wish
37,joy
38,happiness
39,wish
40,love
41,always
42,love
43,always
44,love
45,always
46,love
47,always
48,love
49,always
50,love
51,always
52,love
53,darling
54,love
55,i'll
56,always
57,i'll
58,always
59,love
