,Own It_Drake
0,produced
1,noah
2,shebib
3,partynextdoor
4,partynextdoor
5,drake
6,still
7,one
8,adore
9,ain't
10,much
11,feelings
12,guess
13,whose
14,guess
15,whose
16,guess
17,whose
18,guess
19,whose
20,bottles
21,table
22,waters
23,ain't
24,secret
25,baby
26,everybody
27,saw
28,us
29,guess
30,whose
31,guess
32,whose
33,guess
34,whose
35,next
36,time
37,fuck
38,wanna
39,fuck
40,wanna
41,make
42,love
43,next
44,time
45,talk
46,wanna
47,talk
48,wanna
49,trust
50,next
51,time
52,stand
53,tall
54,wanna
55,standin'
56,next
57,time
58,spend
59,want
60,peakin'
61,i'm
62,peakin'
63,wake
64,weekend
65,oh
66,guess
67,whose
68,guess
69,whose
70,guess
71,whose
72,partynextdoor
73,said
74,go
75,shit
76,shit
77,shit
78,shit
79,go
80,shit
81,shit
82,shit
83,shit
84,go
85,said
86,go
87,shit
88,shit
89,shit
90,shit
91,go
92,shit
93,shit
94,shit
95,shit
96,go
97,drake
98,niggas
99,talk
100,bitches
101,days
102,let
103,shit
104,sink
105,ha
106,niggas
107,talk
108,bitches
109,days
110,could
111,get
112,pussy
113,quicker
114,days
115,still
116,straight
117,weed
118,liquor
119,days
120,cause
121,new
122,drugs
123,got
124,kids
125,trippin'
126,days
127,bunch
128,journalists
129,searchin'
130,story
131,exgirl
132,searchin'
133,sorry
134,couple
135,bitches
136,tryna
137,maury
138,like
139,nigga
140,supportin'
141,tour
142,gettin'
143,money
144,y'all
145,even
146,really
147,check
148,ain't
149,even
150,hit
151,nigga
152,threats
153,girl
154,love
155,say
156,shit
157,get
158,girl
159,cause
160,got
161,batphone
162,workline
163,call
164,last
165,time
166,somethin'
167,first
168,time
169,done
170,done
171,swear
172,god
173,niggas
174,talk
175,bitches
176,days
177,got
178,thinkin'
179,i'm
180,different
181,days
182,broken
183,telephone
184,every
185,single
186,conversation
187,time
188,gets
189,shit
190,switches
191,days
192,always
193,gonna
194,partynextdoor
195,said
196,go
197,shit
198,baby
199,shit
200,shit
201,shit
