,Love Sosa_Chief Keef
0,jordan
1,gilty
2,chief
3,keef
4,fuckers
5,school
6,telling
7,always
8,barber
9,shop
10,chief
11,keef
12,ain't
13,'bout
14,chief
15,keef
16,ain't
17,'bout
18,boy
19,bd
20,fucking
21,lamron
22,say
23,nigga
24,putting
25,work”
26,shut
27,fuck
28,y'all
29,niggas
30,ain’t
31,know
32,shit
33,ya
34,motherfuckers
35,talk
36,“chief
37,keef
38,ain't
39,hitta
40,chief
41,keef
42,ain't
43,chief
44,keef
45,fake”
46,shut
47,fuck
48,y'all
49,nigga
50,y'all
51,know
52,nigga
53,got
54,caught
55,ratchet
56,shootin'
57,police
58,shit
59,nigga
60,probation
61,since
62,fuckin'
63,know
64,motherfucka
65,stop
66,fuckin'
67,playin'
68,like
69,niggas
70,savages
71,catch
72,another
73,motherfucker
74,talking
75,sweet
76,chief
77,keef
78,i'm
79,fucking
80,beating
81,ass
82,i'm
83,fucking
84,playing
85,y'know
86,niggas
87,roll
88,lil
89,reese
90,young
91,chop
92,beat
93,love
94,sosa
95,bitches
96,love
97,sosa
98,huh
99,raris
100,rovers
101,ayy
102,lil'
103,cobra
104,ayy
105,ayy
106,bang
107,bang
108,ayy
109,got
110,us
111,rovers
112,bitches
113,love
114,sosa
115,end
116,end
117,fuckin'
118,boys
119,gon'
120,get
121,fucked
122,raris
123,rovers
124,hoes
125,love
126,chief
127,sosa
128,hit
129,cobra
130,boy
131,slumped
132,sosa
133,boys
134,ain't
135,making
136,noise
137,y'all
138,know
139,i'm
140,grown
141,boy
142,clique
143,full
144,broke
145,boys
146,god
147,y'all
148,broke
149,boys
150,god
151,y'all
152,broke
153,boys
154,gbe
155,dope
156,boys
157,got
158,lots
159,dough
160,boy
161,bitches
162,love
163,sosa
164,love
165,glo'
166,boys
167,know
168,'go
169,boy
170,cannot
171,go
172,boy
173,know
174,ol'
175,boy
176,know
177,he's
178,broke
179,boy
180,raris
181,rovers
182,convertible
183,lambos
184,boy
185,know
186,got
187,bands
188,boy
189,pants
190,boy
191,disrespect
192,boys
193,speak
194,boy
195,think
196,i'm
197,playin'
198,boy
199,use
200,hands
201,boy
202,friends
203,boy
204,collect
205,bands
206,i'm
207,landlord
208,gets
209,lots
210,commas
211,fuck
212,yo
213,mama
214,ain't
215,drama
216,meet
217,llama
218,ridin'
219,3hunna
220,three
221,hundred
222,foreigns
223,bitches
224,see
225,chief
226,sosa
227,swear
228,god
229,honored
230,bitches
231,love
232,sosa
233,end
234,end
235,fuckin'
236,boys
237,gon'
238,get
239,fucked
240,raris
241,rovers
242,hoes
243,love
244,chief
245,sosa
246,hit
247,cobra
248,boy
249,slumped
250,sosa
251,boys
252,ain't
253,making
254,noise
255,y'all
256,know
257,i'm
258,grown
259,boy
260,clique
261,full
262,broke
263,boys
264,god
265,y'all
266,broke
267,boys
268,god
269,y'all
270,broke
271,boys
272,gbe
273,dope
274,boys
275,got
276,lots
277,dough
278,boy
279,make
280,call
281,rose
282,boy
283,six
284,doubleo
285,boy
286,keep
287,pole
288,boy
289,gon'
290,get
291,fucked
292,bitch
293,done
294,sell
295,soda
296,done
297,sell
298,coca
299,gon'
300,clap
301,sosa
302,gon'
303,clap
304,sosa
305,sosa
306,hoes
307,sosa
308,tadoe
309,molly
310,water
311,nigga
312,cool
313,like
314,water
315,'fore
316,get
317,hit
318,lava
319,bitch
320,i'm
321,trending
322,topic
323,care
324,price
325,i'll
326,cop
327,b
328,bitch
329,steady
330,jockin'
331,bitches
332,love
333,sosa
334,end
335,end
336,fuckin'
337,boys
338,gon'
339,get
340,fucked
341,raris
342,rovers
343,hoes
344,love
345,chief
346,sosa
347,hit
348,cobra
349,boy
350,slumped
351,sosa
352,boys
353,ain't
354,making
355,noise
356,y'all
357,know
358,i'm
359,grown
360,boy
361,clique
362,full
363,broke
364,boys
365,god
366,y'all
367,broke
368,boys
369,god
370,y'all
371,broke
372,boys
373,gbe
374,dope
375,boys
376,got
377,lots
378,dough
379,boy
