,Over My Dead Body_Drake
0,chantal
1,kreviazuk
2,i'm
3,feeling
4,matter
5,'cause
6,know
7,i'm
8,okay
9,instead
10,ask
11,worry
12,know
13,know
14,i'm
15,know
16,know
17,love
18,baby
19,they’re
20,trying
21,take
22,away
23,dead
24,body
25,drake
26,think
27,killed
28,e'rybody
29,game
30,last
31,year
32,man
33,fuck
34,though
35,thought
36,found
37,girl
38,dreams
39,strip
40,club
41,mmmmmm
42,fuck
43,wrong
44,though
45,shout
46,niggas
47,living
48,tax
49,free
50,nowadays
51,six
52,figures
53,tax
54,oh
55,well
56,guess
57,lose
58,win
59,long
60,outcome
61,income
62,know
63,want
64,shout
65,asian
66,girls
67,let
68,lights
69,dim
70,shots
71,came
72,know
73,sent
74,probably
75,bad
76,hoes
77,i'm
78,'bout
79,take
80,hint
81,yeah
82,know
83,well
84,nigga
85,mean
86,ain't
87,real
88,nigga
89,got
90,white
91,women
92,like
93,seal
94,nigga
95,slave
96,pussy
97,i'm
98,playing
99,field
100,nigga
101,people
102,really
103,discussing
104,career
105,asking
106,i'll
107,going
108,platinum
109,year
110,got
111,shit
112,world
113,wanna
114,hear
115,michael
116,jordan
117,still
118,got
119,hoop
120,earring
121,man
122,flows
123,bore
124,paint
125,drying
126,ever
127,trippin
128,ain't
129,mine
130,hearing
131,shit
132,say
133,grapevine
134,jealousy
135,love
136,hate
137,time
138,yeah
139,way
140,beginning
141,playing
142,ain't
143,even
144,notice
145,winning
146,refrain
147,drake
148,sound
149,fear
150,man
151,kids
152,wear
153,crowns
154,everything
155,right
156,chantal
157,kreviazuk
158,oh
159,know
160,know
161,love
162,baby
163,they’re
164,trying
165,take
166,away
167,dead
168,body
169,drake
170,say
171,i'm
172,old
173,news
174,well
175,new
176,star
177,cause
178,i'm
179,going
180,anywhere
181,probably
182,far
183,performed
184,bar
185,mitzvah
186,states
187,used
188,half
189,money
190,beat
191,brother's
192,case
193,red
194,wine
195,fed
196,time
197,shout
198,niggas
199,that's
200,dead
201,time
202,shout
203,bitches
204,bedtime
205,fuck
206,niggas
207,think
208,time
209,yeah
210,make
211,take
212,life
213,apart
214,boy
215,whoever
216,fuck
217,gave
218,start
219,boy
220,oh
221,wanna
222,motherfucking
223,funny
224,guy
225,make
226,break
227,kevin
228,hart
229,boy
230,yeah
231,whatever
232,know
233,feeling
234,good
235,living
236,better
237,think
238,maybe
239,numb
240,last
241,year
242,know
243,feel
244,ever
245,city
246,love
247,like
248,mac
249,dre
250,bay
251,second
252,album
253,i'm
254,back
255,paving
256,way
257,backpackers
258,back
259,bandwagon
260,like
261,comeback
262,season
263,back
264,back
265,day
266,met
267,baby
268,moms
269,last
270,night
271,took
272,picture
273,together
274,hope
275,frames
276,drinking
277,palms
278,last
279,night
280,ended
281,losing
282,everything
283,came
284,feel
285,like
286,i've
287,huh
288,still
289,got
290,ten
291,years
292,go
293,huh
294,refrain
295,drake
296,sound
297,fear
298,man
299,kids
300,wear
301,crowns
302,everything
303,right
304,chantal
305,kreviazuk
306,oh
307,know
308,know
309,love
310,baby
311,they’re
312,trying
313,take
314,away
315,dead
316,body
317,three
318,morning
319,still
320,going
321,produced
322,chantal
323,kreviazuk
324,noah
325,shebib
