,As Long as You Love Me_Backstreet Boys
0,long
1,love
2,nick
3,brian
4,although
5,loneliness
6,always
7,friend
8,mine
9,i'm
10,leaving
11,life
12,hands
13,people
14,say
15,i'm
16,crazy
17,blind
18,risking
19,glance
20,got
21,blind
22,still
23,mystery
24,can't
25,get
26,head
27,care
28,written
29,history
30,long
31,care
32,long
33,love
34,care
35,long
36,love
37,brian
38,kevin
39,every
40,little
41,thing
42,said
43,done
44,feels
45,like
46,deep
47,within
48,ooh
49,oohooh
50,really
51,matter
52,run
53,seems
54,like
55,we're
56,meant
57,brian
58,care
59,long
60,love
61,know
62,care
63,long
64,love
65,yeah
66,long
67,love
68,brian
69,nick
70,i've
71,tried
72,hide
73,one
74,knows
75,guess
76,shows
77,look
78,eyes
79,coming
80,care
81,long
82,love
83,baby
84,woo
85,woo
86,woo
87,ooh
88,brian
89,care
90,long
91,love
92,long
93,love
94,care
95,long
96,love
97,long
98,love
99,brian
100,nick
101,long
102,love
103,long
104,love
105,long
106,love
107,care
108,long
109,love
