,Drunk on Love_Rihanna
0,yeah
1,yeah
2,yeah
3,yeah
4,feel
5,like
6,i’m
7,hopeless
8,romantic
9,can’t
10,help
11,falling
12,love
13,fiend
14,love
15,want
16,crave
17,can’t
18,get
19,enough
20,prechorus
21,take
22,away
23,wear
24,heart
25,sleeve
26,always
27,let
28,love
29,take
30,lead
31,may
32,little
33,naive
34,yeah
35,know
36,i’m
37,drunk
38,love
39,drunk
40,love
41,nothing
42,sober
43,it’s
44,need
45,yeah
46,yeah
47,yeah
48,yeah
49,i've
50,let
51,never
52,tainted
53,stay
54,thirsty
55,hold
56,back
57,drop
58,wasted
59,i'll
60,let
61,love
62,run
63,course
64,prechorus
65,take
66,away
67,wear
68,heart
69,sleeve
70,always
71,let
72,love
73,take
74,lead
75,may
76,little
77,naive
78,yeah
79,know
80,i’m
81,drunk
82,love
83,drunk
84,love
85,nothing
86,sober
87,know
88,i’m
89,drunk
90,love
91,drunk
92,drunk
93,love
94,nothing
95,sober
96,it’s
97,need
98,i'm
99,intoxicated
100,love
101,way
102,taste
103,lips
104,kiss
105,got
106,addicted
107,much
108,can't
109,resist
110,falling
111,arms
112,prechorus
113,take
114,away
115,wear
116,heart
117,sleeve
118,always
119,let
120,love
121,take
122,lead
123,may
124,little
125,naive
126,yeah
127,know
128,i’m
129,drunk
130,love
131,drunk
132,love
133,nothing
134,sober
135,know
136,i’m
137,drunk
138,love
139,drunk
140,drunk
141,love
142,nothing
143,sober
144,it’s
145,need
146,it’s
147,need
148,it’s
149,need
