,Lay Me Down_Sam Smith
0,yes
1,believe
2,one
3,day
4,right
5,right
6,next
7,hard
8,days
9,seem
10,dark
11,moon
12,stars
13,nothing
14,without
15,touch
16,skin
17,begin
18,words
19,explain
20,way
21,i'm
22,missing
23,deny
24,emptiness
25,hole
26,i'm
27,inside
28,tears
29,tell
30,story
31,prechorus
32,told
33,cry
34,gone
35,feeling's
36,overwhelming
37,much
38,strong
39,lay
40,side
41,next
42,make
43,sure
44,right
45,i'll
46,take
47,care
48,want
49,can't
50,tonight
51,i'm
52,reaching
53,hear
54,call
55,hurt
56,i've
57,i'm
58,missing
59,missing
60,like
61,crazy
62,prechorus
63,told
64,cry
65,gone
66,feeling's
67,overwhelming
68,much
69,strong
70,lay
71,side
72,next
73,make
74,sure
75,right
76,i'll
77,take
78,care
79,want
80,can't
81,tonight
82,lay
83,tonight
84,lay
85,side
86,lay
87,tonight
88,lay
89,side
90,lay
91,side
92,next
