,The Hills_The Weeknd
0,yeah
1,yeah
2,yeah
3,man
4,road
5,doin'
6,promo
7,said
8,keep
9,business
10,lowlow
11,i'm
12,tryna
13,get
14,friend
15,zone
16,'cause
17,look
18,even
19,better
20,photos
21,can't
22,find
23,house
24,send
25,info
26,drivin'
27,gated
28,residential
29,found
30,comin'
31,sent
32,friends
33,home
34,keep
35,tryna
36,hide
37,friends
38,know
39,call
40,half
41,past
42,five
43,time
44,i'll
45,side
46,love
47,touch
48,feel
49,i'm
50,fucked
51,that's
52,real
53,i'm
54,fucked
55,that's
56,real
57,yeah
58,call
59,half
60,past
61,five
62,time
63,i'd
64,ever
65,call
66,mine
67,love
68,touch
69,feel
70,i'm
71,fucked
72,that's
73,real
74,i'm
75,fucked
76,that's
77,real
78,babe
79,i'ma
80,let
81,know
82,keep
83,simple
84,tryna
85,keep
86,seem
87,simple
88,fucked
89,two
90,bitches
91,'fore
92,saw
93,gon'
94,tempo
95,always
96,tryna
97,send
98,rehab
99,drugs
100,started
101,feelin'
102,like
103,decaf
104,i'm
105,tryna
106,live
107,life
108,moment
109,motherfuckers
110,want
111,relapse
112,call
113,half
114,past
115,five
116,time
117,i'll
118,side
119,love
120,touch
121,feel
122,i'm
123,fucked
124,that's
125,real
126,i'm
127,fucked
128,that's
129,real
130,yeah
131,call
132,half
133,past
134,five
135,time
136,i'd
137,ever
138,call
139,mine
140,love
141,touch
142,feel
143,i'm
144,fucked
145,that's
146,real
147,i'm
148,fucked
149,that's
150,real
151,babe
152,hills
153,eyes
154,hills
155,eyes
156,judge
157,judge
158,hide
159,lies
160,girl
161,hide
162,lies
163,hide
164,lies
165,oh
166,baby
167,trust
168,call
169,half
170,past
171,five
172,time
173,i'll
174,side
175,love
176,touch
177,feel
178,i'm
179,fucked
180,that's
181,real
182,i'm
183,fucked
184,that's
185,real
186,yeah
187,call
188,half
189,past
190,five
191,time
192,i'd
193,ever
194,call
195,mine
196,love
197,touch
198,feel
199,i'm
200,fucked
201,that's
202,real
203,i'm
204,fucked
205,that's
206,real
207,babe
208,ewedihalehu
209,yene
210,konjo
211,ewedihalehu
212,yene
213,fikir
214,fikir
215,fikir
216,fikir
217,yene
218,fikir
219,fikir
220,fikir
221,fikir
222,ewedihalehu
223,yene
224,konjo
225,ewedihalehu
