,Weak_SWV
0,know
1,done
2,caused
3,act
4,crazy
5,way
6,whatever
7,feeling
8,want
9,stay
10,prechorus
11,'cause
12,heart
13,starts
14,beating
15,triple
16,time
17,thoughts
18,loving
19,mind
20,can't
21,figure
22,cause
23,cure
24,get
25,weak
26,knees
27,hardly
28,speak
29,lose
30,control
31,something
32,takes
33,control
34,takes
35,daze
36,amazing
37,amaze
38,phase
39,want
40,stay
41,stay
42,side
43,swallow
44,pride
45,pride
46,love
47,sweet
48,knocks
49,right
50,feet
51,can't
52,explain
53,love
54,makes
55,weak
56,time
57,time
58,time
59,try
60,fight
61,love
62,strong
63,keeps
64,holding
65,resistance
66,around
67,cries
68,fading
69,condition
70,want
71,alone
72,prechorus
73,'cause
74,heart
75,starts
76,beating
77,triple
78,time
79,thoughts
80,loving
81,mind
82,can't
83,figure
84,cause
85,cure
86,ohh
87,get
88,weak
89,knees
90,hardly
91,speak
92,lose
93,control
94,something
95,takes
96,control
97,takes
98,daze
99,amazing
100,amaze
101,phase
102,want
103,stay
104,stay
105,side
106,swallow
107,pride
108,pride
109,love
110,sweet
111,knocks
112,right
113,feet
114,can't
115,explain
116,love
117,makes
118,weak
119,try
120,hard
121,fight
122,way
123,deny
124,love's
125,sweet
126,knocks
127,feet
128,get
129,weak
130,knees
131,hardly
132,speak
133,lose
134,control
135,something
136,takes
137,control
138,takes
139,daze
140,amazing
141,amaze
142,phase
143,want
144,stay
145,stay
146,side
147,swallow
148,pride
149,pride
150,love
151,sweet
152,knocks
153,right
154,feet
155,can't
156,explain
157,love
158,makes
159,weak
160,get
161,weak
162,blood
163,starts
164,racing
165,veins
166,get
167,weak
168,boy
169,something
170,can't
171,explain
172,get
173,weak
174,something
175,'bout
176,way
177,things
178,dooooooo
179,knocks
180,right
181,feet
182,ohh
183,feet
184,can't
185,explain
186,lovin'
187,makes
188,weak
189,get
190,weak
191,knees
192,hardly
193,speak
194,lose
195,control
196,something
197,takes
198,control
199,takes
200,daze
201,amazing
202,amazing
203,phase
204,want
205,stay
206,stay
207,side
208,swallow
209,pride
210,pride
211,love
212,sweet
213,knocks
214,right
215,feet
216,ohh
217,can't
218,explain
219,love
220,makes
221,weak
