,Jar of Hearts_Christina Perri
0,know
1,can't
2,take
3,one
4,step
5,towards
6,‘cause
7,that's
8,waiting
9,regret
10,know
11,i'm
12,ghost
13,anymore
14,lost
15,love
16,loved
17,prechorus
18,i've
19,learned
20,live
21,half
22,alive
23,want
24,one
25,time
26,think
27,runnin'
28,'round
29,leaving
30,scars
31,collecting
32,jar
33,hearts
34,tearing
35,love
36,apart
37,gonna
38,catch
39,cold
40,ice
41,inside
42,soul
43,come
44,back
45,think
46,hear
47,asking
48,around
49,anywhere
50,found
51,grown
52,strong
53,ever
54,fall
55,back
56,arms
57,prechorus
58,i've
59,learned
60,live
61,half
62,alive
63,want
64,one
65,time
66,think
67,runnin'
68,'round
69,leaving
70,scars
71,collecting
72,jar
73,hearts
74,tearing
75,love
76,apart
77,gonna
78,catch
79,cold
80,ice
81,inside
82,soul
83,come
84,back
85,think
86,dear
87,took
88,long
89,feel
90,alright
91,remember
92,put
93,back
94,light
95,eyes
96,wish
97,missed
98,first
99,time
100,kissed
101,‘cause
102,broke
103,promises
104,back
105,get
106,get
107,back
108,think
109,runnin'
110,'round
111,leaving
112,scars
113,collecting
114,jar
115,hearts
116,tearing
117,love
118,apart
119,gonna
120,catch
121,cold
122,ice
123,inside
124,soul
125,come
126,back
127,come
128,back
129,think
130,runnin'
131,'round
132,leaving
133,scars
134,collecting
135,jar
136,hearts
137,tearing
138,love
139,apart
140,gonna
141,catch
142,cold
143,ice
144,inside
145,soul
146,come
147,back
148,come
149,back
150,think
151,think
152,think
