,Romeo and Juliet_Dire Straits
0,lovestruck
1,romeo
2,sings
3,streets
4,serenade
5,laying
6,everybody
7,low
8,love
9,song
10,made
11,finds
12,streetlight
13,steps
14,shade
15,says
16,something
17,like
18,babe
19,juliet
20,says
21,hey
22,romeo
23,nearly
24,gimme
25,heart
26,attack
27,he's
28,underneath
29,window
30,singing
31,hey
32,la
33,boyfriend's
34,back
35,come
36,around
37,singing
38,people
39,like
40,anyway
41,ya
42,gonna
43,juliet
44,dice
45,loaded
46,start
47,bet
48,exploded
49,heart
50,forget
51,forget
52,movie
53,song
54,gonna
55,realize
56,time
57,wrong
58,juliet
59,come
60,different
61,streets
62,streets
63,shame
64,dirty
65,mean
66,yes
67,dream
68,dreamed
69,dream
70,dream
71,real
72,look
73,another
74,one
75,deals
76,well
77,fall
78,chains
79,silver
80,fall
81,chains
82,gold
83,fall
84,pretty
85,strangers
86,promises
87,hold
88,promised
89,everything
90,promised
91,thick
92,thin
93,yeah
94,say
95,oh
96,romeo
97,yeah
98,know
99,used
100,scene
101,juliet
102,made
103,love
104,used
105,cry
106,said
107,love
108,like
109,stars
110,i'll
111,love
112,till
113,die
114,there's
115,place
116,us
117,know
118,movie
119,song
120,gonna
121,realize
122,time
123,wrong
124,juliet
125,can't
126,talk
127,like
128,talk
129,tv
130,can't
131,love
132,song
133,like
134,way
135,meant
136,can't
137,everything
138,i'd
139,anything
140,can't
141,anything
142,except
143,love
144,miss
145,way
146,used
147,keep
148,beat
149,bad
150,company
151,kiss
152,bars
153,rhyme
154,juliet
155,i'd
156,stars
157,time
158,juliet
159,made
160,love
161,used
162,cry
163,said
164,love
165,like
166,stars
167,i'll
168,love
169,till
170,die
171,there's
172,place
173,us
174,know
175,movie
176,song
177,gonna
178,realize
179,time
180,wrong
181,juliet
182,lovestruck
183,romeo
184,sings
185,streets
186,serenade
187,laying
188,everybody
189,low
190,love
191,song
192,made
193,finds
194,convenient
195,streetlight
196,steps
197,shade
198,says
199,something
200,like
201,babe
202,babe
