,Last Goodbye_Jeff Buckley
0,last
1,goodbye
2,hate
3,feel
4,love
5,us
6,die
7,hear
8,i'll
9,go
10,gave
11,live
12,ever
13,know
14,well
15,last
16,embrace
17,must
18,dream
19,always
20,see
21,face
22,can't
23,overcome
24,wall
25,baby
26,maybe
27,know
28,kiss
29,please
30,kiss
31,kiss
32,desire
33,baby
34,consolation
35,oh
36,know
37,makes
38,angry
39,cause
40,know
41,time
42,i'll
43,make
44,cry
45,last
46,goodbye
47,ohhh
48,instrumental
49,ooooh
50,ooooh
51,ooooohhhhhhhhhhhhhhh
52,say
53,can't
54,happen
55,rush
56,phone
57,call
58,voice
59,unkind
60,back
61,mind
62,saying
63,maybe
64,know
65,know
66,oh
67,oh
68,ya
69,know
70,ooohh
71,know
72,well
73,bells
74,church
75,tower
76,chime
77,burning
78,clues
79,heart
80,mine
81,thinking
82,hard
83,soft
84,eyes
85,memories
86,offer
87,signs
