,Banana Pancakes_Jack Johnson
0,can't
1,see
2,raining
3,ain’t
4,need
5,go
6,outside
7,baby
8,hardly
9,even
10,notice
11,try
12,show
13,song
14,meant
15,keep
16,supposed
17,waking
18,early
19,maybe
20,could
21,sleep
22,i'll
23,make
24,banana
25,pancakes
26,pretend
27,like
28,weekend
29,could
30,pretend
31,time
32,can't
33,see
34,raining
35,ain't
36,need
37,go
38,outside
39,maybe
40,laka
41,ukulele
42,mama
43,made
44,baby
45,really
46,don’t
47,mind
48,practice
49,'cause
50,little
51,lady
52,lady
53,lady
54,love
55,'cause
56,love
57,lay
58,lazy
59,could
60,close
61,curtains
62,pretend
63,like
64,there's
65,world
66,outside
67,could
68,pretend
69,time
70,can't
71,see
72,raining
73,ain’t
74,need
75,go
76,outside
77,ain’t
78,need
79,ain’t
80,need
81,mmmmmmmmmm
82,can't
83,see
84,can't
85,see
86,rain
87,day
88,mind
89,telephone
90,singing
91,ringing
92,early
93,pick
94,need
95,got
96,everything
97,need
98,right
99,everything
100,need
101,enough
102,easy
103,whole
104,world
105,fits
106,inside
107,arms
108,really
109,need
110,pay
111,attention
112,alarm
113,wake
114,slow
115,mhmmm
116,wake
117,slow
118,baby
119,hardly
120,even
121,notice
122,try
123,show
124,song
125,meant
126,keep
127,supposed
128,waking
129,early
130,maybe
131,could
132,sleep
133,i'll
134,make
135,banana
136,pancakes
137,pretend
138,like
139,weekend
140,could
141,pretend
142,time
143,can't
144,see
145,raining
146,ain't
147,need
148,go
149,outside
150,ain't
151,need
152,ain't
153,need
154,rain
155,day
156,really
157,really
158,really
159,mind
160,can't
161,see
162,can't
163,see
164,we've
165,got
166,wake
167,slow
