,Hours_FKA twigs
0,could
1,kiss
2,hours
3,who'd
4,thought
5,i'd
6,mouth
7,loud
8,clear
9,prechorus
10,harder
11,feel
12,harder
13,suited
14,fit
15,needs
16,master
17,needs
18,could
19,kiss
20,hours
21,miss
22,thing
23,read
24,lips
25,could
26,kiss
27,hours
28,feeling
29,bring
30,deep
31,could
32,kiss
33,hours
34,would
35,like
36,lips
37,touched
38,stayed
39,close
40,baby
41,'til
42,stars
43,fade
44,would
45,like
46,sucked
47,bite
48,hard
49,felt
50,alright
51,would
52,like
53,held
54,arms
55,round
56,edges
57,substitute
58,calm
59,prechorus
60,harder
61,feel
62,harder
63,suited
64,fit
65,needs
66,master
67,needs
68,could
69,kiss
70,hours
71,miss
72,thing
73,read
74,lips
75,could
76,kiss
77,hours
78,feeling
79,bring
80,deep
81,could
82,kiss
83,hours
84,driving
85,heaven
86,ground
87,sweetest
88,thing
89,girl
90,like
91,found
92,could
93,kiss
94,hours
95,flying
96,higher
97,world
98,long
99,lost
100,boy
101,aside
102,man
103,that's
104,grown
105,could
106,kiss
107,hours
108,miss
109,thing
110,read
111,lips
112,could
113,kiss
114,hours
115,feeling
116,bring
117,deep
118,could
119,kiss
120,hours
121,could
122,kiss
123,hours
124,could
125,kiss
126,hours
127,could
128,kiss
129,hours
130,could
131,kiss
132,hours
