,No One's Gonna Love You_Band of Horses
0,looking
1,like
2,limb
3,torn
4,together
5,taken
6,apart
7,we're
8,reeling
9,endless
10,fall
11,everliving
12,ghost
13,one
14,ever
15,gonna
16,love
17,one's
18,gonna
19,love
20,anything
21,make
22,smile
23,better
24,side
25,admire
26,never
27,take
28,long
29,back
30,another
31,one
32,one
33,ever
34,gonna
35,love
36,one's
37,gonna
38,love
39,someone
40,could
41,warned
42,things
43,start
44,splitting
45,seams
46,whole
47,thing's
48,tumbling
49,things
50,start
51,splitting
52,seams
53,things
54,start
55,splitting
56,seams
57,tumbling
58,hard
59,anything
60,make
61,smile
62,everliving
63,ghost
64,never
65,want
66,hear
67,say
68,better
69,liked
70,way
71,one
72,ever
73,gonna
74,love
75,one's
76,gonna
77,love
78,someone
79,warned
80,things
81,start
82,splitting
83,seams
84,whole
85,thing's
86,tumbling
87,things
88,start
89,splitting
90,seams
91,things
92,start
93,splitting
94,seams
95,tumbling
96,hard
