,You and Me_Lifehouse
0,day
1,month
2,clock
3,never
4,seemed
5,alive
6,can't
7,keep
8,can't
9,back
10,i've
11,losing
12,much
13,time
14,'cause
15,people
16,nothing
17,nothing
18,lose
19,people
20,know
21,can't
22,keep
23,eyes
24,things
25,want
26,say
27,coming
28,right
29,i'm
30,tripping
31,words
32,got
33,head
34,spinning
35,know
36,go
37,'cause
38,people
39,nothing
40,nothing
41,prove
42,people
43,know
44,can't
45,keep
46,eyes
47,there's
48,something
49,can't
50,quite
51,figure
52,everything
53,beautiful
54,everything
55,right
56,'cause
57,people
58,nothing
59,nothing
60,lose
61,people
62,know
63,can't
64,keep
65,eyes
66,people
67,nothing
68,nothing
69,prove
70,people
71,know
72,can't
73,keep
74,eyes
75,outroverse
76,day
77,month
78,clock
79,never
80,seemed
81,alive
