,I Wanna_The All-American Rejects
0,never
1,thought
2,blind
3,finally
4,see
5,truth
6,tonight
7,can't
8,imagine
9,i'm
10,side
11,never
12,gonna
13,truth
14,far
15,prechorus
16,hear
17,say
18,throw
19,away
20,there's
21,way
22,gotta
23,hold
24,somehow
25,wanna
26,wanna
27,wanna
28,touch
29,wanna
30,touch
31,every
32,day
33,time
34,loves
35,perfect
36,crime
37,wanna
38,wanna
39,wanna
40,touch
41,wanna
42,touch
43,every
44,way
45,set
46,free
47,put
48,hands
49,take
50,everything
51,know
52,break
53,give
54,life
55,away
56,far
57,prechorus
58,hear
59,say
60,throw
61,away
62,there's
63,way
64,gotta
65,hold
66,somehow
67,wanna
68,wanna
69,wanna
70,touch
71,wanna
72,touch
73,every
74,day
75,time
76,love's
77,perfect
78,crime
79,wanna
80,wanna
81,wanna
82,touch
83,wanna
84,touch
85,every
86,way
87,set
88,free
89,put
90,hands
91,tonight
92,i'm
93,weak
94,tonight
95,i'm
96,weak
97,another
98,day
99,without
100,can't
101,sleep
102,can't
103,sleep
104,gave
105,away
106,world
107,hear
108,say
109,throw
110,away
111,throw
112,away
113,there's
114,way
115,gotta
116,hold
117,somehow
118,wanna
119,wanna
120,wanna
121,touch
122,wanna
123,touch
124,every
125,day
126,time
127,loves
128,perfect
129,crime
130,wanna
131,wanna
132,wanna
133,touch
134,wanna
135,touch
136,every
137,way
138,set
139,free
140,put
141,hands
142,wanna
143,wanna
144,wanna
145,touch
146,wanna
147,touch
148,every
149,day
150,time
151,love's
152,perfect
153,crime
154,wanna
155,wanna
156,wanna
157,touch
158,wanna
159,touch
160,every
161,way
162,set
163,free
164,put
165,hands
