,I Have Friends in Holy Spaces_Panic! at the Disco
0,remind
1,former
2,love
3,knew
4,carry
5,little
6,piece
7,holding
8,hands
9,walking
10,middle
11,street
12,fine
13,i'm
14,taking
15,scenery
16,remind
17,famous
18,friends
19,well
20,depends
21,qualify
22,friends
23,remind
24,famous
25,friends
26,well
27,depends
28,qualify
29,friends
30,take
31,chance
32,take
33,shoes
34,dance
35,rain
36,yeah
37,we're
38,splashing
39,around
40,news
41,spread
42,town
43,i'm
44,complaining
45,raining
46,i'm
47,saying
48,i'd
49,like
50,lot
51,think
52,sun
53,would
54,come
55,sing
56,remind
57,famous
58,friends
59,well
60,depends
61,qualify
62,friends
63,remind
64,famous
65,friends
66,well
67,depends
68,qualify
69,friends
70,hey
71,moon
72,hey
73,moon
74,hey
75,moon
76,hey
77,moon
78,hey
79,moon
80,hey
81,moon
82,hey
83,moon
84,hey
85,moon
86,hey
87,moon
88,hey
89,moon
