,Marching Bands of Manhattan_Death Cab for Cutie
0,could
1,open
2,arms
3,span
4,length
5,isle
6,manhattan
7,i'd
8,bring
9,making
10,lake
11,east
12,river
13,hudson
14,could
15,open
16,mouth
17,wide
18,enough
19,marching
20,band
21,march
22,would
23,make
24,name
25,sing
26,bend
27,alleys
28,bounce
29,buildings
30,wish
31,could
32,open
33,eyes
34,see
35,directions
36,time
37,oh
38,beautiful
39,view
40,never
41,aware
42,around
43,true
44,said
45,live
46,like
47,hermit
48,head
49,sun
50,shines
51,i'll
52,pull
53,curtains
54,blinds
55,let
56,light
57,refrain
58,x4
59,sorrow
60,drips
61,heart
62,pin
63,hole
64,like
65,faucet
66,leaks
67,comfort
68,sound
69,debate
70,half
71,empty
72,half
73,full
74,slowly
75,rises
76,love
77,gonna
78,drown
79,coda
80,love
81,gonna
82,drown
83,5x
