,There She Goes_Sixpence None the Richer
0,goes
1,goes
2,racing
3,brain
4,can't
5,contain
6,feeling
7,remains
8,goes
9,goes
10,pulsing
11,veins
12,can't
13,contain
14,feeling
15,remains
16,goes
17,goes
18,goes
19,goes
20,racing
21,brain
22,goes
23,can't
24,contain
25,feeling
26,remains
27,goes
28,goes
29,calls
30,name
31,pulls
32,train
33,one
34,else
35,could
36,heal
37,pain
38,can't
39,contain
40,feeling
41,remains
42,goes
43,calls
44,name
45,goes
46,calls
47,name
48,chasing
49,lane
50,calls
51,name
52,can't
53,contain
54,feeling
55,remains
56,goes
57,goes
58,goes
59,goes
60,goes
