,A Letter To Elise_The Cure
0,oh
1,elise
2,matter
3,say
4,can't
5,stay
6,every
7,yesterday
8,like
9,keep
10,acting
11,way
12,act
13,every
14,way
15,smile
16,forget
17,makebelieve
18,never
19,needed
20,oh
21,elise
22,matter
23,know
24,i'll
25,never
26,really
27,get
28,inside
29,make
30,eyes
31,catch
32,fire
33,way
34,way
35,blue
36,could
37,pull
38,would
39,would
40,least
41,i'd
42,lose
43,sense
44,sensing
45,something
46,else
47,hides
48,away
49,worlds
50,part
51,aching
52,looks
53,breaking
54,hearts
55,prayers
56,hands
57,make
58,oh
59,take
60,much
61,throw
62,throw
63,away
64,oh
65,i'll
66,throw
67,away
68,like
69,throwing
70,faces
71,sky
72,like
73,throwing
74,arms
75,round
76,yesterday
77,stood
78,stared
79,wideeyed
80,front
81,face
82,saw
83,looked
84,back
85,way
86,wanted
87,can't
88,hold
89,tears
90,away
91,way
92,elise
93,believe
94,never
95,wanted
96,thought
97,time
98,i'd
99,keep
100,promises
101,thought
102,girl
103,always
104,dreamed
105,let
106,dream
107,go
108,promises
109,broke
110,makebelieve
111,ran
112,elise
113,matter
114,say
115,can't
116,stay
117,every
118,yesterday
119,like
120,keep
121,acting
122,way
123,act
124,every
125,way
126,smile
127,forget
128,makebelieve
129,never
130,needed
131,every
132,time
133,try
134,pick
135,like
136,falling
137,sand
138,fast
139,pick
140,runs
141,away
142,clutching
143,hands
144,there's
145,nothing
146,else
147,really
148,there's
149,nothing
150,else
151,really
152,there's
153,nothing
154,else
155,really
