,Over_Lindsay Lohan
0,watch
1,walls
2,around
3,crumble
4,like
5,build
6,here's
7,last
8,chance
9,redemption
10,take
11,lasts
12,'cause
13,end
14,tears
15,turning
16,time
17,i'm
18,wasting
19,trying
20,find
21,reason
22,goodbye
23,can't
24,live
25,without
26,can't
27,breathe
28,without
29,dream
30,honestly
31,tell
32,'cause
33,world
34,spinning
35,i'm
36,still
37,living
38,right
39,we're
40,together
41,tell
42,i'll
43,first
44,go
45,wanna
46,last
47,know
48,one
49,chase
50,time
51,heart
52,call
53,home
54,i'm
55,always
56,stuck
57,emotions
58,try
59,feel
60,less
61,i'm
62,whole
63,tears
64,turning
65,time
66,i'm
67,wasting
68,trying
69,find
70,reason
71,goodbye
72,can't
73,live
74,without
75,can't
76,breathe
77,without
78,dream
79,honestly
80,tell
81,'cause
82,world
83,spinning
84,i'm
85,still
86,living
87,right
88,we're
89,together
90,tell
91,i'll
92,first
93,go
94,i'll
95,first
96,go
97,wanna
98,last
99,know
100,tears
101,turning
102,time
103,i'm
104,wasting
105,trying
106,find
107,reason
108,goodbye
109,can't
110,live
111,without
112,can't
113,breathe
114,without
115,dream
116,honestly
117,tell
118,'cause
119,world
120,spinning
121,i'm
122,still
123,living
124,right
125,we're
126,together
127,tell
128,tell
129,honestly
130,tell
131,honestly
132,tell
133,tell
134,tell
