,Call Out My Name_The Weeknd
0,found
1,helped
2,broken
3,place
4,gave
5,comfort
6,falling
7,mistake
8,prechorus
9,put
10,top
11,put
12,top
13,claimed
14,proud
15,openly
16,times
17,rough
18,times
19,rough
20,made
21,sure
22,held
23,close
24,call
25,name
26,call
27,name
28,call
29,name
30,kiss
31,gently
32,want
33,stay
34,want
35,stay
36,want
37,stay
38,even
39,though
40,want
41,girl
42,can't
43,wait
44,can't
45,wait
46,baby
47,girl
48,can't
49,wait
50,'til
51,fall
52,love
53,call
54,name
55,call
56,name
57,girl
58,call
59,name
60,i'll
61,way
62,i'll
63,my—
64,said
65,feel
66,nothing
67,baby
68,lied
69,almost
70,cut
71,piece
72,life
73,guess
74,another
75,pit
76,stop
77,'til
78,made
79,mind
80,wasted
81,time
82,prechorus
83,top
84,put
85,top
86,claimed
87,proud
88,openly
89,babe
90,times
91,rough
92,times
93,rough
94,made
95,sure
96,held
97,close
98,call
99,name
100,call
101,name
102,baby
103,call
104,name
105,kiss
106,gently
107,ohh
108,want
109,stay
110,want
111,stay
112,want
113,stay
114,even
115,though
116,want
117,girl
118,can't
119,wait
120,girl
121,can't
122,wait
123,'til
124,girl
125,can't
126,wait
127,'til
128,fall
129,loving
130,babe
131,call
132,name
133,say
134,call
135,name
136,baby
137,call
138,name
139,i'll
140,way
141,girl
142,i'll
143,my—
144,way
145,way
146,way
147,way
148,ooh
149,way
150,way
151,way
152,way
153,way
154,way
