,Criminal_Britney Spears
0,hustler
1,he's
2,good
3,loser
4,he's
5,bum
6,bum
7,bum
8,bum
9,lies
10,bluffs
11,he's
12,unreliable
13,sucker
14,gun
15,gun
16,gun
17,gun
18,know
19,told
20,stay
21,away
22,know
23,said
24,he's
25,dog
26,astray
27,he's
28,bad
29,boy
30,tainted
31,heart
32,even
33,know
34,ain't
35,smart
36,mama
37,i'm
38,love
39,criminal
40,type
41,love
42,rational
43,physical
44,mama
45,please
46,cry
47,alright
48,reason
49,aside
50,can't
51,deny
52,love
53,guy
54,villain
55,devil's
56,law
57,killer
58,fun
59,fun
60,fun
61,fun
62,man's
63,snitch
64,unpredictable
65,he's
66,got
67,conscience
68,got
69,none
70,none
71,none
72,none
73,oh
74,know
75,let
76,go
77,'cause
78,he's
79,bad
80,boy
81,tainted
82,heart
83,even
84,know
85,ain't
86,smart
87,mama
88,i'm
89,love
90,criminal
91,type
92,love
93,rational
94,physical
95,mama
96,please
97,cry
98,alright
99,reason
100,aside
101,can't
102,deny
103,love
104,guy
105,he's
106,got
107,name
108,tattooed
109,arm
110,lucky
111,charm
112,guess
113,okay
114,he's
115,hear
116,people
117,talk
118,people
119,talk
120,try
121,make
122,remarks
123,keep
124,us
125,apart
126,even
127,hear
128,care
129,'cause
130,mama
131,i'm
132,love
133,criminal
134,type
135,love
136,rational
137,physical
138,mama
139,please
140,cry
141,alright
142,reason
143,aside
144,can't
145,deny
146,love
147,guy
148,oh
149,know
150,oh
151,mama
152,i'm
153,love
154,criminal
155,let
156,go
157,type
158,love
159,rational
160,physical
161,oh
162,know
163,oh
164,mama
165,please
166,cry
167,alright
168,let
169,go
170,reason
171,aside
172,can't
173,deny
174,love
175,guy
