,Please Forgive Me_David Gray
0,please
1,forgive
2,act
3,little
4,strange
5,know
6,feels
7,like
8,lightning
9,running
10,veins
11,everytime
12,look
13,everytime
14,look
15,help
16,words
17,falling
18,short
19,there's
20,much
21,want
22,say
23,want
24,tell
25,good
26,feels
27,look
28,way
29,look
30,way
31,throw
32,stone
33,watch
34,ripples
35,flow
36,moving
37,across
38,bay
39,like
40,stone
41,fall
42,eyes
43,deep
44,mystery
45,deep
46,mystery
47,got
48,half
49,mind
50,scream
51,loud
52,got
53,half
54,mind
55,die
56,ever
57,lose
58,girl
59,ever
60,say
61,goodbye
62,ever
63,lie
64,ever
65,say
66,goodbye
67,refrain
68,yeah
69,na
70,na
71,na
72,na
73,yeah
74,na
75,na
76,na
77,na
78,variant
79,please
80,forgive
81,act
82,little
83,strange
84,know
85,like
86,head
87,filled
88,lightning
89,girl
90,everytime
91,look
92,everytime
93,look
94,everytime
95,look
96,everytime
97,look
