,Say Yes_Elliott Smith
0,i'm
1,love
2,world
3,eyes
4,girl
5,who's
6,still
7,around
8,morning
9,broke
10,month
11,ago
12,grew
13,know
14,i'd
15,around
16,morning
17,always
18,wait
19,see
20,happy
21,day
22,pay
23,feel
24,like
25,shit
26,morning
27,feel
28,changed
29,around
30,instead
31,falling
32,i'm
33,standing
34,morning
35,situations
36,get
37,fucked
38,turned
39,around
40,sooner
41,later
42,could
43,another
44,fool
45,exception
46,rule
47,tell
48,morning
49,crooked
50,spin
51,can't
52,come
53,rest
54,i'm
55,damaged
56,bad
57,best
58,she'll
59,decide
60,wants
61,i'll
62,probably
63,last
64,know
65,one
66,says
67,shows
68,see
69,want
70,say
71,yes
72,i'm
73,love
74,world
75,eyes
76,girl
77,who's
78,still
79,around
80,morning
