,Swagger Jagger_Cher Lloyd
0,swagger
1,jagger
2,swagger
3,jagger
4,get
5,count
6,money
7,get
8,game
9,get
10,game
11,get
12,get
13,game
14,can't
15,stop
16,looking
17,staring
18,can't
19,stop
20,looking
21,get
22,face
23,can't
24,stop
25,clicking
26,writing
27,'bout
28,tweeting
29,'bout
30,can't
31,stop
32,gon'
33,swagger's
34,check
35,prechorus
36,get
37,floor
38,get
39,get
40,get
41,floor
42,swagger's
43,check
44,get
45,floor
46,get
47,get
48,get
49,floor
50,iii
51,got
52,check
53,swagger
54,jagger
55,swagger
56,jagger
57,get
58,count
59,money
60,get
61,game
62,hater
63,let
64,go
65,swagger
66,jagger
67,swagger
68,jagger
69,get
70,count
71,money
72,get
73,game
74,get
75,game
76,get
77,game
78,can't
79,stop
80,shouting
81,calling
82,can't
83,stop
84,looking
85,get
86,way
87,can't
88,stop
89,youtubeing
90,repeat
91,runnin'
92,beat
93,can't
94,stop
95,funny
96,i'm
97,laughing
98,way
99,prechorus
100,get
101,floor
102,get
103,get
104,get
105,floor
106,get
107,get
108,get
109,floor
110,get
111,get
112,get
113,floor
114,got
115,check
116,swagger
117,jagger
118,swagger
119,jagger
120,get
121,count
122,money
123,get
124,game
125,hater
126,let
127,go
128,swagger
129,jagger
130,swagger
131,jagger
132,get
133,count
134,money
135,get
136,game
137,get
138,game
139,get
140,game
141,hi
142,hater
143,kiss
144,kiss
145,i'll
146,see
147,later
148,hi
149,hater
150,nice
151,meet
152,get
153,floor
154,get
155,get
156,get
157,get
158,get
159,get
160,get
161,floor
162,stststststaring
163,get
164,floor
165,ii
166,got
167,check
168,get
169,floor
170,can't
171,stop
172,get
173,floor
174,swagger's
175,check
176,get
177,floor
178,can't
179,can't
180,stototop
181,get
182,floor
183,got
184,check
