,Lover_Taylor Swift
0,could
1,leave
2,christmas
3,lights
4,'til
5,january
6,place
7,make
8,rules
9,there's
10,dazzling
11,haze
12,mysterious
13,way
14,dear
15,known
16,seconds
17,years
18,go
19,go
20,always
21,close
22,forever
23,ever
24,ah
25,take
26,take
27,home
28,lover
29,could
30,let
31,friends
32,crash
33,living
34,room
35,place
36,make
37,call
38,i'm
39,highly
40,suspicious
41,everyone
42,sees
43,wants
44,i've
45,loved
46,three
47,summers
48,honey
49,want
50,'em
51,go
52,go
53,always
54,close
55,forever
56,ever
57,ah
58,take
59,take
60,home
61,forever
62,ever
63,lover
64,ladies
65,gentlemen
66,please
67,stand
68,every
69,guitar
70,string
71,scar
72,hand
73,take
74,magnetic
75,force
76,man
77,lover
78,heart's
79,borrowed
80,blue
81,all's
82,well
83,ends
84,well
85,end
86,swear
87,overdramatic
88,true
89,lover
90,save
91,dirtiest
92,jokes
93,every
94,table
95,i'll
96,save
97,seat
98,lover
99,go
100,go
101,always
102,close
103,forever
104,ever
105,ah
106,take
107,take
108,home
109,forever
110,ever
111,oh
112,darling
113,lover
