,Tiny Vessels_Death Cab for Cutie
0,moment
1,know
2,told
3,loved
4,touch
5,skin
6,think
7,beautiful
8,mean
9,thing
10,yeah
11,beautiful
12,mean
13,thing
14,spent
15,two
16,weeks
17,silver
18,lake
19,california
20,sun
21,cascading
22,face
23,girl
24,light
25,brown
26,streaks
27,beautiful
28,mean
29,thing
30,yeah
31,beautiful
32,mean
33,thing
34,wanted
35,believe
36,words
37,speaking
38,moved
39,together
40,dark
41,friends
42,telling
43,playful
44,misspellings
45,every
46,bite
47,gave
48,left
49,mark
50,tiny
51,vessels
52,oozed
53,neck
54,formed
55,bruises
56,said
57,want
58,fade
59,day
60,see
61,dark
62,grey
63,clouds
64,distance
65,moving
66,closer
67,every
68,hour
69,ask
70,something
71,wrong
72,think
73,damn
74,right
75,can't
76,talk
77,can't
78,talk
79,one
80,last
81,touch
82,go
83,we'll
84,pretend
85,meant
86,something
87,much
88,vile
89,cheap
90,beautiful
91,mean
92,thing
93,yeah
94,beautiful
95,mean
96,thing
97,yeah
98,beautiful
99,mean
100,thing
