,Isn't She Lovely_Stevie Wonder
0,lovely
1,wonderful
2,precious
3,less
4,one
5,minute
6,old
7,never
8,thought
9,love
10,we'd
11,making
12,one
13,lovely
14,lovely
15,made
16,love
17,pretty
18,truly
19,angel's
20,best
21,boy
22,i'm
23,happy
24,heaven
25,blessed
26,can't
27,believe
28,god
29,done
30,us
31,he's
32,given
33,life
34,one
35,lovely
36,made
37,love
38,breakdown
39,lovely
40,life
41,love
42,life
43,aisha
44,meaning
45,name
46,londie
47,could
48,done
49,without
50,conceived
51,one
52,that's
53,lovely
54,made
55,love
56,harmonica
57,solo
58,many
59,rounds
