,Josie_blink-182
0,mark
1,hoppus
2,yeah
3,girlfriend
4,takes
5,home
6,i'm
7,drunk
8,drive
9,get
10,jealous
11,hang
12,guys
13,laughs
14,dumb
15,jokes
16,one
17,brings
18,mexican
19,food
20,sombrero
21,yeah
22,mark
23,hoppus
24,girlfriend
25,likes
26,ul
27,dhc
28,smart
29,independent
30,think
31,needs
32,quite
33,half
34,much
35,know
36,need
37,wonder
38,there's
39,another
40,guy
41,she'd
42,prefer
43,mark
44,hoppus
45,feel
46,like
47,giving
48,like
49,world
50,falling
51,show
52,still
53,watching
54,vacation
55,see
56,pretty
57,face
58,takes
59,away
60,better
61,place
62,postchorus
63,tom
64,delonge
65,mark
66,hoppus
67,know
68,everything
69,know
70,everything
71,know
72,everything
73,everything's
74,gonna
75,fine
76,know
77,everything
78,know
79,everything
80,know
81,everything
82,everything's
83,gonna
84,fine
85,mark
86,hoppus
87,yeah
88,girlfriend
89,takes
90,collect
91,calls
92,road
93,seem
94,matter
95,i'm
96,lacking
97,bulge
98,laughs
99,dumb
100,jokes
101,one
102,brings
103,mexican
104,food
105,sombrero
106,mark
107,hoppus
108,feel
109,like
110,giving
111,like
112,world
113,falling
114,show
115,still
116,watching
117,vacation
118,see
119,pretty
120,face
121,takes
122,away
123,better
124,place
125,postchorus
126,tom
127,delonge
128,mark
129,hoppus
130,know
131,everything
132,know
133,everything
134,know
135,everything
136,everything's
137,gonna
138,fine
139,know
140,everything
141,know
142,everything
143,know
144,everything
145,everything's
146,gonna
147,fine
148,know
149,everything
150,know
151,everything
152,know
153,everything
154,everything's
155,gonna
156,fine
157,know
158,everything
159,know
160,everything
161,know
162,everything
163,everything's
164,gonna
165,fine
166,instrumental
167,break
168,postchorus
169,tom
170,delonge
171,mark
172,hoppus
173,know
174,everything
175,know
176,everything
177,know
178,everything
179,everything's
180,gonna
181,fine
182,know
183,everything
184,know
185,everything
186,know
187,everything
188,everything's
189,gonna
190,fine
191,know
192,everything
193,know
194,everything
195,know
196,everything
197,everything's
198,gonna
199,fine
200,know
201,everything
202,know
203,everything
204,know
205,everything
206,everything's
207,gonna
208,fine
